epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.5110764853159586,44.62,1.004923812866211,64.83,Adam,1
2,0.8512296057701111,72.05,0.6282327004432678,79.43,Adam,2
3,0.5512972358703613,82.65,0.4394539787292481,85.06,Adam,3
4,0.4098420232613881,87.20333333333333,0.3147840402960777,90.31,Adam,4
5,0.3390940059820811,89.37,0.3127222470045089,89.71,Adam,5
6,0.2932647902886073,90.80833333333334,0.2374265309512615,92.71,Adam,6
7,0.2593296106894811,91.88,0.2216026845395565,93.12,Adam,7
8,0.2365082617123921,92.76666666666668,0.2165609308540821,92.88,Adam,8
9,0.2157238333702087,93.41166666666666,0.2244678431749344,92.84,Adam,9
10,0.1998273547252019,93.77333333333333,0.1640461529850959,94.53,Adam,10
