epoch,train_loss,train_acc,test_loss,test_acc
1,1.2341343606313069,57.31666666666667,0.5762816840648651,82.45
2,0.4686700223763784,85.35,0.35225332849025726,89.31
3,0.317286402463913,90.05,0.23528521686792372,92.58
4,0.2519647215048472,92.145,0.21087729897499086,93.19
5,0.20919146560827892,93.535,0.20270267248749732,93.56
6,0.19209061177571615,94.15666666666667,0.23744847423434257,92.67
7,0.17427614301840463,94.62166666666667,0.12980228596925736,96.01
8,0.15421965655883152,95.28333333333333,0.15153450278043748,95.1
9,0.14195376900434495,95.69166666666666,0.12168307165503502,96.27
10,0.136355533572038,95.76833333333333,0.14659404163062573,95.46
