initialization,optimizer,mean_test_acc,std_test_acc,mean_convergence_epoch,std_convergence_epoch,divergence_rate,n_seeds
uniform_small,SGD,38.385999999999996,1.7549655267269488,9.0,0.0,0.0,10
uniform_small,SGD_Momentum,95.249,0.4638200081928358,4.0,0.0,0.0,10
uniform_small,Adam,94.512,0.4383332065906017,3.3,0.45825756949558405,0.0,10
uniform_small,AdamW,94.50700000000002,0.49280929374353294,3.4,0.48989794855663565,0.0,10
normal_small,SGD,11.349999999999998,1.7763568394002505e-15,1.0,0.0,0.0,10
normal_small,SGD_Momentum,13.133,5.348999999999999,1.9,2.7,0.0,10
normal_small,Adam,85.553,5.740231789745079,6.4,0.66332495807108,0.0,10
normal_small,AdamW,85.894,6.156473341126393,6.6,0.66332495807108,0.0,10
xavier_uniform,SGD,64.16,4.196672491391245,8.9,1.2206555615733703,0.0,10
xavier_uniform,SGD_Momentum,95.773,0.44784037334746923,3.1,0.3,0.0,10
xavier_uniform,Adam,95.33200000000001,0.42203791298886945,2.0,0.0,0.0,10
xavier_uniform,AdamW,95.262,0.5332129030696835,2.1,0.3,0.0,10
xavier_normal,SGD,63.25,4.508760361784602,8.6,1.1135528725660042,0.0,10
xavier_normal,SGD_Momentum,95.603,0.5106672106176396,3.1,0.3,0.0,10
xavier_normal,Adam,95.53999999999999,0.5454722724392141,2.2,0.39999999999999997,0.0,10
xavier_normal,AdamW,95.63399999999999,0.44915921453311153,2.2,0.39999999999999997,0.0,10
kaiming_uniform,SGD,86.57100000000001,1.8701735213610529,6.4,0.8,0.0,10
kaiming_uniform,SGD_Momentum,96.188,0.5638758728656522,2.0,0.0,0.0,10
kaiming_uniform,Adam,95.85300000000001,0.4953998385143078,1.9,0.3,0.0,10
kaiming_uniform,AdamW,95.78599999999999,0.42069466362196717,1.9,0.3,0.0,10
kaiming_normal,SGD,85.24199999999999,2.5903428344526147,6.3,1.004987562112089,0.0,10
kaiming_normal,SGD_Momentum,95.949,0.6352078400019944,2.1,0.3,0.0,10
kaiming_normal,Adam,95.90799999999999,0.4613848718802957,2.0,0.0,0.0,10
kaiming_normal,AdamW,95.77000000000001,0.6597726881282678,2.0,0.0,0.0,10
