epoch,train_loss,train_acc,test_loss,test_acc
1,2.300792887878418,11.653333333333334,2.2986123363494873,13.83
2,2.2962952546437583,18.62,2.293328331756592,22.26
3,2.2883453105926512,22.871666666666666,2.2811400257110597,21.23
4,2.271598183822632,20.175,2.2587416049957274,19.32
5,2.2427122844696044,20.246666666666666,2.2214579410552977,20.8
6,2.189344377009074,21.81,2.1425583789825438,22.66
7,2.0839413299560547,24.061666666666667,2.0210051246643066,25.21
8,1.9792580642700195,27.30666666666667,1.9248545707702636,28.6
9,1.8891193511327107,30.561666666666667,1.8120476684570312,32.3
10,1.771766882578532,34.218333333333334,1.675137553024292,35.71
