epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.394465175406138,50.98333333333333,0.8338167732238769,74.61,Adam,1
2,0.6304365437984466,80.67666666666666,0.4203408571481705,87.59,Adam,2
3,0.3999604108651479,87.88166666666666,0.3174478100657463,90.79,Adam,3
4,0.3139070910612742,90.32166666666669,0.2460879237294197,92.79,Adam,4
5,0.2609561376730601,92.05333333333331,0.2119174878358841,93.57,Adam,5
6,0.2263256609280904,93.03333333333332,0.2284716435432434,93.01,Adam,6
7,0.2040531784534454,93.82,0.1689314698338508,94.73,Adam,7
8,0.1853654291550318,94.33166666666666,0.1584611313343048,95.39,Adam,8
9,0.1735488538742065,94.64333333333332,0.1647361673891544,95.13,Adam,9
10,0.1581822032848994,95.10833333333332,0.1443579479455947,95.65,Adam,10
