epoch,train_loss,train_acc,test_loss,test_acc
1,1.2730365474700929,57.586666666666666,0.675174927663803,78.21
2,0.49683507440884905,85.18,0.35816350283622744,89.3
3,0.3191887898127238,90.50333333333333,0.28277546105384826,91.46
4,0.2501592015107473,92.47666666666667,0.21590249779820442,93.31
5,0.2100488312959671,93.665,0.19266560066342353,93.78
6,0.18676591981252033,94.45666666666666,0.17208879618048667,94.78
7,0.17297711446285247,94.735,0.140810308983922,95.65
8,0.15361688481171926,95.39833333333333,0.1506756361693144,95.4
9,0.14276147921085358,95.715,0.12841413373723626,95.94
10,0.13422236660718917,95.83,0.1408007389381528,95.39
