epoch,train_loss,train_acc,test_loss,test_acc
1,2.292697896703084,11.551666666666666,2.275313610458374,15.97
2,2.251701394399007,21.99,2.2146625232696535,25.42
3,2.139872257868449,26.576666666666668,2.0360195121765137,27.29
4,1.941530744934082,30.878333333333334,1.8317488147735597,33.42
5,1.7475133615493774,36.875,1.6170868911743164,40.65
6,1.5793078137715657,43.281666666666666,1.475392315864563,45.73
7,1.442387123044332,49.57,1.3548518411636352,50.04
8,1.2969218556722004,55.471666666666664,1.2115806764602661,59.84
9,1.1810577438990275,59.80833333333333,1.1918683065414428,52.01
10,1.1018157810529072,62.825,0.9727056143760681,68.34
