epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.0826969747861226,62.90166666666666,0.5572985801219941,82.23,SGD,1
2,0.3896062542597452,87.98833333333333,0.2342881186246872,93.4,SGD,2
3,0.2712632094701131,91.71,0.2283625452756881,93.23,SGD,3
4,0.2170910502831141,93.41666666666669,0.200168390417099,93.42,SGD,4
5,0.186253724137942,94.21333333333334,0.2066098809242248,93.68,SGD,5
6,0.1696259884357452,94.76333333333334,0.1381781145662069,95.91,SGD,6
7,0.150335311114788,95.38,0.1616554080784321,94.94,SGD,7
8,0.1401969690084457,95.70833333333331,0.1224963360637426,96.21,SGD,8
9,0.132267667889595,96.02833333333334,0.1282716390661895,96.26,SGD,9
10,0.1245866647481918,96.20666666666666,0.1189517719261348,96.15,SGD,10
