epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.3889398220062257,51.46333333333333,0.7671047635078431,77.39,Adam,1
2,0.5996142806053162,81.965,0.3917637173175812,88.42,Adam,2
3,0.3773534142017364,88.66166666666666,0.3063758041381836,90.86,Adam,3
4,0.2915638353347778,91.24,0.2330167222261429,92.98,Adam,4
5,0.2484844621102015,92.33666666666667,0.2048712865233421,93.69,Adam,5
6,0.2217032067139943,93.19833333333334,0.1727282774031162,94.87,Adam,6
7,0.1937450695117314,94.04333333333334,0.1639931438148021,95.07,Adam,7
8,0.1766457219839096,94.625,0.1791859842777252,94.35,Adam,8
9,0.1625323958118756,94.94166666666666,0.1530706328138709,95.47,Adam,9
10,0.1496864865064621,95.43833333333332,0.1318253863453865,96.1,Adam,10
