epoch,train_loss,train_acc,test_loss,test_acc
1,1.2547279001871745,58.855,0.6306941922664643,81.16
2,0.49726016823450725,85.545,0.3432151213169098,90.05
3,0.3130692413409551,90.80166666666666,0.25890054731369017,91.94
4,0.2414819278717041,92.78333333333333,0.1935894184589386,94.32
5,0.20047852136294048,93.96833333333333,0.1655984172105789,94.99
6,0.17429493505954743,94.71166666666667,0.15622838190197944,95.08
7,0.15734150629440943,95.23333333333333,0.13647819834947586,95.97
8,0.1435245197614034,95.63166666666666,0.14188942316174508,95.65
9,0.13011257296005885,96.02,0.12599043732881546,96.2
10,0.12112674096226692,96.35,0.14006493520587682,95.39
