epoch,train_loss,train_acc,test_loss,test_acc
1,1.3793035321235656,51.69,0.7939126171112061,75.3
2,0.6546967725594839,79.58166666666666,0.48450550968647005,84.3
3,0.42545185429255167,86.94333333333333,0.32515659437179567,90.18
4,0.3281940677801768,89.89166666666667,0.2599078961253166,92.28
5,0.27638034763336183,91.37666666666667,0.23463504861593246,92.71
6,0.2399930376211802,92.56833333333333,0.22838603882789613,93.19
7,0.21943927054802576,93.29666666666667,0.18597163412570952,94.31
8,0.19483685149351757,94.10166666666667,0.16879890082478524,94.94
9,0.1753255940437317,94.525,0.1615467904806137,95.0
10,0.16484525989691418,94.9,0.15026731269955634,95.19
