epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.2968862204233806,18.526666666666667,2.292220307922363,21.69,SGD,1
2,2.286331508255005,20.165,2.277670063781738,18.01,SGD,2
3,2.266547022120158,18.455,2.2515843269348146,18.84,SGD,3
4,2.233283981450399,20.14333333333333,2.208596884918213,21.29,SGD,4
5,2.170062696202596,22.05333333333333,2.116025175857544,22.94,SGD,5
6,2.0647707204818726,24.26333333333333,2.0090852617263795,25.03,SGD,6
7,1.9811522654215488,26.89333333333333,1.9296583751678469,28.42,SGD,7
8,1.900500998433431,29.81,1.8338330841064447,31.29,SGD,8
9,1.7863911836624145,33.72833333333333,1.68128694896698,36.99,SGD,9
10,1.657350184694926,37.25666666666667,1.5772174619674684,39.51,SGD,10
