epoch,train_loss,train_acc,test_loss,test_acc
1,1.9183871594111124,31.73,1.5873072303771973,44.12
2,1.4411620880762737,49.48833333333334,1.295352084350586,52.05
3,1.2043434153238932,59.06,1.0594954070091247,67.04
4,1.0549542812347412,64.73166666666667,0.9858038737297058,63.33
5,0.928450865650177,69.75666666666666,0.8033927936553955,76.39
6,0.8161099494616191,74.195,0.7279471290588378,76.82
7,0.7176022896130879,77.90666666666667,0.5776231880187989,84.19
8,0.6262234768867493,80.98,0.5931535354614258,82.56
9,0.5471108896414439,83.8,0.49603547954559324,85.68
10,0.49531758726437886,85.39666666666666,0.4520134160995483,86.69
