epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.301199785232544,55.25666666666667,0.6335026063919067,81.66,Adam,1
2,0.5222301224549611,84.095,0.4170744124889374,87.39,Adam,2
3,0.3619212864875793,88.99,0.2832541883468628,91.16,Adam,3
4,0.2968010895888011,90.89666666666666,0.240767778968811,92.71,Adam,4
5,0.250481286183993,92.39166666666668,0.2228334968805313,93.35,Adam,5
6,0.2262878449559211,92.96333333333334,0.1820231806635856,94.46,Adam,6
7,0.2006384923140207,93.785,0.168222060739994,95.0,Adam,7
8,0.178089273405075,94.45666666666666,0.159226033937931,95.27,Adam,8
9,0.1663824928442637,94.81166666666668,0.147122227525711,95.36,Adam,9
10,0.1539713118632634,95.3,0.1537271370261907,95.4,Adam,10
