Seed,Beta1,Beta2,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,std_grad_norm,mean_update_mag,final_param_distance,mean_speed,std_speed,smoothness,oscillation_index,final_loss_std
42,0.5,0.999,adam,98.18,92.7,0.0789871408104896,0.2329155365228652,0.8821153814857606,0.371092610549106,0.0004410576907428,8.272300720214844,0.90917546,0.21927853,0.9803813252896294,0.042222651600587,0.0236089438432656
42,0.9,0.999,adam,93.31,89.45,0.2481606667518615,0.3555015647411346,1.114161520197977,0.3519996848807257,0.0001114161520197,4.368678092956543,0.40178955,0.193849,0.5116051916128176,0.097820320272416,0.0249143306863536
42,0.99,0.999,adam,82.23,77.35,0.8792473467826843,0.977444396495819,1.630138377569585,0.2647428801945246,1.6301383775695863e-05,1.7007050514221191,0.18140684,0.024475861,0.1679413953054382,0.0746897962743971,0.1468364842047084
123,0.5,0.999,adam,98.28,93.1,0.0721754473924636,0.2274687905311584,0.8591845379241805,0.3592808043067776,0.000429592268962,8.3550443649292,0.9107044,0.227529,0.9739504831255354,0.0449228470187885,0.022829941772356
123,0.9,0.999,adam,93.52,90.1,0.2394474556684494,0.3426023421287537,1.0893567398004849,0.3482173055449591,0.00010893567398,4.399764537811279,0.4138429,0.21256307,0.5034263512335482,0.103515666074836,0.0252641332430494
123,0.99,0.999,adam,82.31,77.65,0.920420337677002,1.015613872051239,1.6203987900366652,0.245306316385528,1.620398790036667e-05,1.676885962486267,0.1816687,0.019656915,0.1789708580788425,0.0746710817616113,0.1560905824349931
456,0.5,0.999,adam,98.12,92.45,0.0789932172775268,0.2424761970043182,0.879649503886451,0.3686689737232,0.0004398247519432,8.361917495727539,0.91193146,0.21376917,0.9600347603764356,0.0411688430379717,0.0236923158724925
456,0.9,0.999,adam,93.26,89.5,0.2488601224422454,0.3554640321731567,1.1045025313830554,0.3437830591324284,0.0001104502531383,4.377828598022461,0.39893752,0.2019904,0.511725008825466,0.0976912326530375,0.0235485368280914
456,0.99,0.999,adam,83.64,79.35,0.8646100638389588,0.9496039161682128,1.6030024583785485,0.2470004200418312,1.6030024583785495e-05,1.7149230241775513,0.18369544,0.02306586,0.1694244851305182,0.0744989947685718,0.149703529330245
789,0.5,0.999,adam,98.28,92.7,0.0746985665559768,0.232957628250122,0.8497891052747842,0.3533731127608608,0.0004248945526373,8.3524808883667,0.90568954,0.2107187,0.9620505907069086,0.0433490165465616,0.0235310611423708
789,0.9,0.999,adam,93.47,90.0,0.2427231611728668,0.3518312354087829,1.0862019772284794,0.3387149876236128,0.0001086201977228,4.386969566345215,0.4048425,0.20881711,0.5083306886203656,0.1025812336889467,0.0243878125377807
789,0.99,0.999,adam,83.36,78.6,0.8938084525108337,0.986139042377472,1.6101864367518153,0.2355638691533509,1.6101864367518167e-05,1.7057346105575562,0.18555519,0.018566098,0.1792209919681667,0.0771930653036969,0.1613936423189275
1011,0.5,0.999,adam,98.32,92.85,0.074886168885231,0.2400221364498138,0.8651754376412687,0.369447898372444,0.0004325877188206,8.361611366271973,0.91088706,0.21949923,0.9570231049411608,0.0424682322028326,0.0240851477544416
1011,0.9,0.999,adam,93.38,89.7,0.2457932597637176,0.3533299646377563,1.0970039883120362,0.3481350178188157,0.0001097003988312,4.381455421447754,0.40234745,0.20140335,0.4941819929412159,0.1000787741817117,0.0246663755361179
1011,0.99,0.999,adam,82.89,78.65,0.8833692039489746,0.9757504835128784,1.6300669667282002,0.2584917881922114,1.6300669667282015e-05,1.7098665237426758,0.18455571,0.022656761,0.1740586200864485,0.0754877898807521,0.1520318893495739
