Seed,Beta,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,std_grad_norm,mean_update_mag,final_param_distance,mean_speed,std_speed,smoothness,oscillation_index,final_loss_std
42,0.0,momentum,77.61,72.6,1.132543293762207,1.21979967212677,1.6698299496251547,0.2375369387118207,0.0016698299496251,0.947265326976776,0.095853746,0.010547972,0.0961048774042099,0.0639134168456232,0.1393379754489502
42,0.5,momentum,84.59,80.55,0.71137572555542,0.8097986249923707,1.4725879780010311,0.3057465916922873,0.001472587978001,1.4689865112304688,0.1462537,0.042156823,0.1184873703059062,0.0787663335323817,0.1140638105864519
42,0.9,momentum,91.03,87.3,0.3248036582708358,0.4257295689582824,1.1191681470872628,0.327507973988554,0.0011191681470872,2.643852710723877,0.2326235,0.16105442,0.3354823040818661,0.1134218949126931,0.0277887808441751
42,0.99,momentum,96.97,91.6,0.1061095100224018,0.251895183801651,1.2340635494977343,0.5242072572205735,0.0012340635494977,6.775993824005127,0.8746941,0.553209,0.7690970875621141,0.0940946417848018,0.0384532625056471
123,0.0,momentum,78.35,72.15,1.170549197769165,1.2611486778259278,1.6677961423183596,0.2249632695536089,0.0016677961423183,0.9451974630355836,0.096153855,0.008586484,0.0998507164090196,0.0648379034909423,0.1456758785613064
123,0.5,momentum,84.91,80.2,0.7140913855552673,0.8179798707962036,1.4794957619097462,0.2931671407754528,0.0014794957619097,1.4873695373535156,0.14926182,0.040245064,0.1190959412535332,0.0816645766341499,0.1238095412113652
123,0.9,momentum,91.11,87.6,0.3217775977134705,0.422684829711914,1.1130514896991843,0.3286811137207358,0.0011130514896991,2.668750762939453,0.23626348,0.17016186,0.3300813191445573,0.1189560334931349,0.0272501197024204
123,0.99,momentum,97.08,92.3,0.1058238278269767,0.250511351108551,1.1721763804253775,0.5252762303197839,0.0011721763804253,6.796420574188232,0.8733088,0.5754238,0.7544584584361431,0.0981419371991634,0.0337038795791806
456,0.0,momentum,79.94,75.45,1.1283247623443604,1.202855888366699,1.645507893419268,0.2194961734034752,0.0016455078934192,0.938213050365448,0.095507205,0.009034995,0.0971562056245854,0.0643454631876851,0.1426309768938399
456,0.5,momentum,85.25,81.95,0.697950733757019,0.790103642463684,1.455968839714786,0.290583120337642,0.0014559688397147,1.4669524431228638,0.14673041,0.04148309,0.1170436304952971,0.0799814625770699,0.1161963470683161
456,0.9,momentum,91.04,87.4,0.3259274895668029,0.4246148107051849,1.1093956263141371,0.3200673743883427,0.0011093956263141,2.624403953552246,0.23073342,0.1649588,0.3346575691688732,0.1148396356724809,0.0266952599800688
456,0.99,momentum,97.04,92.45,0.1053440314888954,0.247042610168457,1.2046657259891462,0.5480492233915825,0.0012046657259891,6.71919059753418,0.8707826,0.55371594,0.7556026897559183,0.0934947020472843,0.036901812173881
789,0.0,momentum,79.92,75.2,1.1642130910873414,1.25009614276886,1.641920834650393,0.2110845129342338,0.0016419208346503,0.9392354488372804,0.095770024,0.007518764,0.0971171671489316,0.0655430376703963,0.1482092591901339
789,0.5,momentum,85.26,81.25,0.7105743743896484,0.8149406185150146,1.459918999722727,0.2828866605330261,0.0014599189997227,1.4802595376968384,0.1488319,0.04034793,0.1163858737555585,0.0825638499371985,0.1224368363513452
789,0.9,momentum,91.24,87.75,0.3207834348678589,0.4276529505252838,1.1036906802092004,0.3229892569263261,0.0011036906802092,2.6588971614837646,0.23633176,0.16949083,0.3283962947305758,0.1181436746886435,0.0279386080862948
789,0.99,momentum,97.22,92.05,0.1023460595071315,0.2439263868331909,1.173143971026238,0.535068929948936,0.0011731439710262,6.786563396453857,0.87459165,0.57459337,0.7460876410774435,0.0975645799835033,0.0345847519668568
1011,0.0,momentum,78.96,74.4,1.1369136333465577,1.2216648921966553,1.675980697562813,0.2350556849221413,0.0016759806975628,0.9519193768501282,0.09664003,0.010319059,0.1020074109021758,0.0646242648165131,0.1426224716099669
1011,0.5,momentum,84.97,81.45,0.7087504860877991,0.8137959809303283,1.476068300143279,0.3046853685645214,0.0014760683001432,1.4744442701339722,0.14727433,0.04239374,0.122123464545832,0.0802800926743444,0.1157572567978723
1011,0.9,momentum,91.02,87.6,0.3266874345302581,0.4313231825828552,1.1185646853761284,0.3303635017233196,0.0011185646853761,2.6387252807617188,0.23262745,0.16344403,0.3345634927940171,0.1154941883297903,0.0274546543057406
1011,0.99,momentum,97.05,92.2,0.1075461765050888,0.2510778803825378,1.24652178260068,0.5552789887983266,0.0012465217826006,6.757952690124512,0.8783721,0.5583219,0.7548011879976376,0.0939569182760031,0.0385979016583436
