Seed,Beta1,Beta2,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,smoothness_index,mean_speed,oscillation_index,smoothness
42,0.7,0.9,Adam,99.77,93.9,0.0133256320755928,0.2041711857318878,0.7114345142400998,0.0,0.0,0.0,0.0
42,0.7,0.99,Adam,99.61,93.7,0.0208016128344461,0.2018336142301559,0.744145907591907,0.0,0.0,0.0,0.0
42,0.7,0.999,Adam,99.76,94.1,0.0202174643434584,0.1870999470949172,0.7385378973047729,0.0,0.0,0.0,0.0
42,0.9,0.9,Adam,99.83,94.45,0.0117952019464224,0.2001850860118866,0.7846127841333662,0.0,0.0,0.0,0.0
42,0.9,0.99,Adam,99.65,94.5,0.0200328605808317,0.1933851047754287,0.7942371815567768,0.0,0.0,0.0,0.0
42,0.9,0.999,Adam,99.75,94.1,0.021436662326008,0.1896219427585601,0.7957262519322852,0.0,0.0,0.0,0.0
42,0.99,0.9,Adam,95.85,89.15,990.5521269392906,8242.105685749055,18.96208928978429,0.0,0.0,0.0,0.0
42,0.99,0.99,Adam,99.7,93.85,0.0209346705064177,0.213014823436737,1.200894085602229,0.0,0.0,0.0,0.0
42,0.99,0.999,Adam,99.36,93.25,0.0343599575355649,0.2176064012050628,1.2011465974095583,0.0,0.0,0.0,0.0
123,0.7,0.9,Adam,99.78,94.75,0.0121427521506324,0.1979976762533188,0.7121500615849297,0.0,0.0,0.0,0.0
123,0.7,0.99,Adam,99.8,94.0,0.0176116981970146,0.2131729328632354,0.7363421548775094,0.0,0.0,0.0,0.0
123,0.7,0.999,Adam,99.73,94.1,0.020353105546534,0.1951566174030304,0.7252131509930317,0.0,0.0,0.0,0.0
123,0.9,0.9,Adam,99.74,94.65,0.0139569641575217,0.1968024027347564,0.7804044713571843,0.0,0.0,0.0,0.0
123,0.9,0.99,Adam,99.62,94.05,0.0199723563970997,0.1987141654491424,0.7865600612136614,0.0,0.0,0.0,0.0
123,0.9,0.999,Adam,99.72,94.0,0.0208034387208521,0.1929561122655868,0.7810476467810562,0.0,0.0,0.0,0.0
123,0.99,0.9,Adam,95.39,90.65,946.8544984049126,917.454394630432,18.874335148393524,0.0,0.0,0.0,0.0
123,0.99,0.99,Adam,99.73,94.1,0.0206983405523002,0.1942200212478637,1.1732203747794367,0.0,0.0,0.0,0.0
123,0.99,0.999,Adam,99.4,93.5,0.0340242512896657,0.2054344472885131,1.1639592473921283,0.0,0.0,0.0,0.0
456,0.7,0.9,Adam,99.78,94.1,0.0144133353538811,0.2119712760448455,0.7270619178951127,0.0,0.0,0.0,0.0
456,0.7,0.99,Adam,99.57,94.1,0.0223016201473772,0.2120723801851272,0.7449926486088432,0.0,0.0,0.0,0.0
456,0.7,0.999,Adam,99.73,94.45,0.0211841610524803,0.1942242802381515,0.7416565749074167,0.0,0.0,0.0,0.0
456,0.9,0.9,Adam,99.76,94.2,0.0140229017358273,0.2005914319753647,0.797195130146835,0.0,0.0,0.0,0.0
456,0.9,0.99,Adam,99.66,94.45,0.019679908991605,0.1960430425405502,0.7971357884919391,0.0,0.0,0.0,0.0
456,0.9,0.999,Adam,99.7,93.65,0.0225007687456905,0.1929162646532058,0.7997213335095074,0.0,0.0,0.0,0.0
456,0.99,0.9,Adam,95.0,90.8,10013.049028059497,2521.328069544792,12.994682930521154,0.0,0.0,0.0,0.0
456,0.99,0.99,Adam,99.53,93.65,0.0244321546915918,0.2079278132915497,1.2736369008069532,0.0,0.0,0.0,0.0
456,0.99,0.999,Adam,99.35,93.7,0.0344624067053198,0.2087691729068756,1.2621289128103377,0.0,0.0,0.0,0.0
789,0.7,0.9,Adam,99.82,94.45,0.0118431580276228,0.2012154788970947,0.6971896040526391,0.0,0.0,0.0,0.0
789,0.7,0.99,Adam,99.72,94.2,0.0181469525491818,0.1997436063289642,0.7144825634793766,0.0,0.0,0.0,0.0
789,0.7,0.999,Adam,99.71,94.3,0.0198029031431302,0.1908747520446777,0.7123423391595913,0.0,0.0,0.0,0.0
789,0.9,0.9,Adam,99.77,94.6,0.0124356916932389,0.2045044062137603,0.7605926293747015,0.0,0.0,0.0,0.0
789,0.9,0.99,Adam,99.61,94.1,0.0195044911330565,0.2098666446208953,0.7650209203666025,0.0,0.0,0.0,0.0
789,0.9,0.999,Adam,99.75,93.9,0.0192502465177327,0.1983644367456436,0.7609246611678487,0.0,0.0,0.0,0.0
789,0.99,0.9,Adam,92.63,88.3,4248.004883473065,2721.594835794449,34.66660944978351,0.0,0.0,0.0,0.0
789,0.99,0.99,Adam,99.69,94.0,0.0214831800715997,0.204201003074646,1.19652516868177,0.0,0.0,0.0,0.0
789,0.99,0.999,Adam,99.35,93.45,0.0341872618488967,0.2099639050960541,1.1646462393793815,0.0,0.0,0.0,0.0
1011,0.7,0.9,Adam,99.76,94.6,0.0132584553197026,0.2017211647033691,0.7150160122056238,0.0,0.0,0.0,0.0
1011,0.7,0.99,Adam,99.38,93.65,0.0246233908487483,0.2190425359010696,0.7283112391466202,0.0,0.0,0.0,0.0
1011,0.7,0.999,Adam,99.75,94.45,0.0191550568565726,0.1912913541793823,0.7217312487063386,0.0,0.0,0.0,0.0
1011,0.9,0.9,Adam,99.86,94.45,0.0114323992051184,0.1942825888395309,0.7906623236588375,0.0,0.0,0.0,0.0
1011,0.9,0.99,Adam,99.69,93.95,0.018156123490259,0.1994842828512191,0.7916590380493493,0.0,0.0,0.0,0.0
1011,0.9,0.999,Adam,99.7,94.2,0.0217768113132566,0.1909493894577026,0.7884302527592334,0.0,0.0,0.0,0.0
1011,0.99,0.9,Adam,94.55,89.5,9074.47833587389,7942.30182279396,38.976342004050856,0.0,0.0,0.0,0.0
1011,0.99,0.99,Adam,99.59,93.6,0.0246861432522535,0.2134610216617584,1.2376923719175583,0.0,0.0,0.0,0.0
1011,0.99,0.999,Adam,99.24,93.55,0.038684817892313,0.2168823605775833,1.2386681664976606,0.0,0.0,0.0,0.0
