Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
SimpleMLP_SGD_Momentum,0.0935,N/A,96.7700,0.0000,0.0335
SimpleMLP_SGD,0.3064,0.0013,91.6750,0.1167,0.0376
