rho,seed,final_loss,final_train_loss,final_test_loss,final_test_accuracy,best_test_accuracy,test_acc,epochs_trained
0.01,42,0.2467078518470128,0.2467078518470128,0.2358081003665924,93.2,93.2,93.2,10
0.02,42,0.2456220517476399,0.2456220517476399,0.2344666825294494,93.23,93.23,93.23,10
0.05,42,0.2421309981028239,0.2421309981028239,0.2299298605442047,93.41,93.41,93.41,10
0.1,42,0.2370648933092753,0.2370648933092753,0.2241358880996704,93.69,93.69,93.69,10
0.2,42,0.2342172314802805,0.2342172314802805,0.2194274328708648,93.88,93.88,93.88,10
0.01,123,0.2458378715833028,0.2458378715833028,0.235349206161499,93.31,93.31,93.31,10
0.02,123,0.2449526416619618,0.2449526416619618,0.2349969914913177,93.29,93.29,93.29,10
0.05,123,0.2416020123958587,0.2416020123958587,0.2307229535579681,93.53,93.53,93.53,10
0.1,123,0.2371340839068094,0.2371340839068094,0.2260458433151245,93.73,93.73,93.73,10
0.2,123,0.2333311023553212,0.2333311023553212,0.2211159906387329,93.94,93.94,93.94,10
0.01,456,0.2491549834648768,0.2491549834648768,0.236822965478897,93.27,93.27,93.27,10
0.02,456,0.2479535747766494,0.2479535747766494,0.235593587398529,93.41,93.41,93.41,10
0.05,456,0.244348101735115,0.244348101735115,0.2312000378608703,93.44,93.44,93.44,10
0.1,456,0.2390359880924225,0.2390359880924225,0.2255890375137329,93.56,93.56,93.56,10
0.2,456,0.2347531491200129,0.2347531491200129,0.2199602308750152,93.87,93.87,93.87,10
0.01,789,0.2407709041515986,0.2407709041515986,0.2302433850765228,93.48,93.48,93.48,10
0.02,789,0.239662522872289,0.239662522872289,0.2297307093143463,93.46,93.46,93.46,10
0.05,789,0.2362189853270848,0.2362189853270848,0.2256193701267242,93.63,93.63,93.63,10
0.1,789,0.231456570760409,0.231456570760409,0.2215237603664398,93.79,93.79,93.79,10
0.2,789,0.228470692038536,0.228470692038536,0.2161046196460724,93.98,93.98,93.98,10
0.01,1011,0.2492601431210835,0.2492601431210835,0.237449579000473,93.18,93.18,93.18,10
0.02,1011,0.2481555849949518,0.2481555849949518,0.2367411444187164,93.29,93.29,93.29,10
0.05,1011,0.2443938956022262,0.2443938956022262,0.2327272670269012,93.51,93.51,93.51,10
0.1,1011,0.2390408350467681,0.2390408350467681,0.2270768611907959,93.67,93.67,93.67,10
0.2,1011,0.234203004916509,0.234203004916509,0.2199637152194976,93.98,93.98,93.98,10
0.01,1213,0.2464971625804901,0.2464971625804901,0.2353708976268768,93.19,93.19,93.19,10
0.02,1213,0.2454489677508672,0.2454489677508672,0.2343562386512756,93.35,93.35,93.35,10
0.05,1213,0.2420761700431505,0.2420761700431505,0.2308209963798523,93.48,93.48,93.48,10
0.1,1213,0.2372936954498291,0.2372936954498291,0.2251763520717621,93.56,93.56,93.56,10
0.2,1213,0.2330731975317001,0.2330731975317001,0.2192993677139282,93.72,93.72,93.72,10
0.01,1415,0.2450903135617574,0.2450903135617574,0.2345339437007904,93.42,93.42,93.42,10
0.02,1415,0.2442431620121002,0.2442431620121002,0.2333516368865967,93.51,93.51,93.51,10
0.05,1415,0.2414562913974126,0.2414562913974126,0.2297412738323211,93.61,93.61,93.61,10
0.1,1415,0.2371904159069061,0.2371904159069061,0.2249990238666534,93.69,93.69,93.69,10
0.2,1415,0.2340212674458821,0.2340212674458821,0.220640852355957,93.87,93.87,93.87,10
0.01,1617,0.2452399362564087,0.2452399362564087,0.2339527287006378,93.26,93.26,93.26,10
0.02,1617,0.2440126324335734,0.2440126324335734,0.232382375383377,93.46,93.46,93.46,10
0.05,1617,0.2409199076493581,0.2409199076493581,0.2291118907928467,93.53,93.53,93.53,10
0.1,1617,0.2368474831581115,0.2368474831581115,0.2243874787330627,93.7,93.7,93.7,10
0.2,1617,0.2342261578877767,0.2342261578877767,0.2211196110725402,93.84,93.84,93.84,10
0.01,1819,0.2448008126894633,0.2448008126894633,0.2337010466575622,93.33,93.33,93.33,10
0.02,1819,0.2437266602198282,0.2437266602198282,0.232202401638031,93.48,93.48,93.48,10
0.05,1819,0.2403983119726181,0.2403983119726181,0.22878323941230774,93.6,93.6,93.6,10
0.1,1819,0.23556601462364196,0.23556601462364196,0.22302841749191285,93.77,93.77,93.77,10
0.2,1819,0.23243739682038625,0.23243739682038625,0.2182907603263855,94.0,94.0,94.0,10
0.01,2021,0.24500599625905356,0.24500599625905356,0.2333995484828949,93.48,93.48,93.48,10
0.02,2021,0.2441584199587504,0.2441584199587504,0.23108617491722108,93.4,93.4,93.4,10
0.05,2021,0.2406700450261434,0.2406700450261434,0.22768131041526796,93.5,93.5,93.5,10
0.1,2021,0.23614053727785747,0.23614053727785747,0.22213426871299743,93.71,93.71,93.71,10
0.2,2021,0.23233327781359356,0.23233327781359356,0.2177130819797516,93.95,93.95,93.95,10
