Seed,Gradient_Clip,Clip_Value,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,0.5,0.0,98.0,92.5,0.0869786601543426,0.2369181312322616
42,0.5,0.5,96.04,91.15,0.1486082167506218,0.2837910451889038
42,1.0,1.0,98.0,92.55,0.0868922387033701,0.2376866748332977
42,5.0,5.0,98.0,92.5,0.0869786601543426,0.2369181312322616
42,10.0,10.0,98.0,92.5,0.0869786601543426,0.2369181312322616
123,5.25,0.0,98.0,92.8,0.0864040419518947,0.2349555966854095
123,0.5,0.5,95.99,91.5,0.1490380858421325,0.2821605713367462
123,1.0,1.0,98.01,92.7,0.0864789202153682,0.2342188699245453
123,5.0,5.0,98.0,92.8,0.0864040419518947,0.2349555966854095
123,10.0,10.0,98.0,92.8,0.0864040419518947,0.2349555966854095
456,5.25,0.0,98.0,92.5,0.0863835869461298,0.2366804883480072
456,0.5,0.5,95.87,91.3,0.1505345956861973,0.2833946207761764
456,1.0,1.0,97.95,92.65,0.0866994071125984,0.2365945284366607
456,5.0,5.0,98.0,92.5,0.0863835869461298,0.2366804883480072
456,10.0,10.0,98.0,92.5,0.0863835869461298,0.2366804883480072
789,5.25,0.0,98.14,92.85,0.0834444407790899,0.2326946420669555
789,0.5,0.5,96.26,91.5,0.1412383078813552,0.2763686197996139
789,1.0,1.0,98.14,92.6,0.0838387403041124,0.2326831445693969
789,5.0,5.0,98.14,92.85,0.0834444407790899,0.2326946420669555
789,10.0,10.0,98.14,92.85,0.0834444407790899,0.2326946420669555
1011,5.25,0.0,98.12,92.65,0.0842510359674692,0.2321015207767486
1011,0.5,0.5,95.86,91.4,0.1500820077657699,0.2830969876050949
1011,1.0,1.0,98.03,92.7,0.0862367291122675,0.2347090846300125
1011,5.0,5.0,98.12,92.65,0.0842510359674692,0.2321015207767486
1011,10.0,10.0,98.12,92.65,0.0842510359674692,0.2321015207767486
1213,5.25,0.0,98.0,93.0,0.085830684351921,0.2415728006362915
1213,0.5,0.5,95.73,91.45,0.1497462250053882,0.2876723916530609
1213,1.0,1.0,97.92,92.75,0.0862107880622148,0.2408159416913986
1213,5.0,5.0,98.0,93.0,0.085830684351921,0.2415728006362915
1213,10.0,10.0,98.0,93.0,0.085830684351921,0.2415728006362915
1415,5.25,0.0,98.07,92.9,0.084519212603569,0.2371756907701492
1415,0.5,0.5,96.06,91.0,0.1436917571663856,0.2827959755659103
1415,1.0,1.0,98.07,92.6,0.0840621805846691,0.236984705209732
1415,5.0,5.0,98.07,92.9,0.084519212603569,0.2371756907701492
1415,10.0,10.0,98.07,92.9,0.084519212603569,0.2371756907701492
1617,5.25,0.0,98.06,92.85,0.0864761898756027,0.2322095047235489
1617,0.5,0.5,95.99,91.2,0.1466463792264461,0.2785554056167602
1617,1.0,1.0,97.99,92.7,0.0857537609755993,0.2327970941066742
1617,5.0,5.0,98.06,92.85,0.0864761898756027,0.2322095047235489
1617,10.0,10.0,98.06,92.85,0.0864761898756027,0.2322095047235489
1819,5.25,0.0,98.11,92.55,0.0853261541604995,0.2352235941886901
1819,0.5,0.5,96.13,91.3,0.1459595992565155,0.2800873211622238
1819,1.0,1.0,98.14,92.7,0.0849296469926834,0.2343367023468017
1819,5.0,5.0,98.11,92.55,0.0853261541604995,0.2352235941886901
1819,10.0,10.0,98.11,92.55,0.0853261541604995,0.2352235941886901
2021,5.25,0.0,97.93,92.4,0.0871268770933151,0.2353504993915557
2021,0.5,0.5,95.95,91.35,0.1482998588442802,0.2795651426315307
2021,1.0,1.0,97.91,92.7,0.0868799404799938,0.2353799240589142
2021,5.0,5.0,97.93,92.4,0.0871268770933151,0.2353504993915557
2021,10.0,10.0,97.93,92.4,0.0871268770933151,0.2353504993915557
