beta1,beta2,final_loss,iterations,mean_speed,std_speed,smoothness,oscillation,final_grad_norm
0.8,0.9,-927.3314599054338,200,0.21386020372899264,0.011616992659747633,0.123226033640614,0.9259586251886713,42.861033753627154
0.8,0.99,-1672.5554775731937,200,0.28655215320221167,0.016070860730245,0.008021695722002564,1.238987854237569,57.56166083893965
0.9,0.9,-822.9682976460538,200,0.20187645535700283,0.013132336369450952,0.0702458950118385,0.8789371425968858,40.37038630193737
0.9,0.99,-1477.1341864609615,200,0.26980982672903736,0.01787426538449525,0.011503152418611731,1.169199687647782,54.082421469713154
