epoch,train_loss,val_loss,val_acc,test_acc,test_loss
1,0.3347296465915792,0.255059787829717,89.86666666666666,,
2,0.1775053538925507,0.2556493467092514,89.26666666666667,,
3,0.0829533632011974,0.3135555934111277,88.93333333333334,,
4,0.052302320082398,0.3936148157119751,88.93333333333334,,
5,0.0397532983080429,0.4242577799956004,88.66666666666667,,
6,0.0229727753532283,0.4227196751435598,90.13333333333334,,
7,0.020919512709274,0.4711520854632059,89.2,,
8,0.0163359521241749,0.4582880496184031,89.66666666666667,,
9,0.0098774565204101,0.4499016992251078,90.2,,
10,0.0047095776701017,0.5322995942433675,89.8,,
11,0.0029767012164434,0.5447618923187256,90.13333333333334,,
12,0.0019546035955769,0.554974013487498,90.46666666666668,,
13,0.0017405435366364,0.5903834941387176,89.6,,
14,0.0017274271125549,0.5816711703936259,89.8,,
15,0.0013710843043347,0.5719774537881216,89.86666666666666,90.55,0.5214586713314057
