epoch,train_loss,val_loss,val_acc,test_acc,test_loss
1,0.3477341551850824,0.2638393454551697,89.2,,
2,0.1870329588160795,0.269682065486908,89.33333333333333,,
3,0.0925745049408253,0.2971949214935303,89.73333333333333,,
4,0.0553621715614024,0.343223383585612,90.13333333333334,,
5,0.033991920727579,0.383985691388448,88.8,,
6,0.0295242138022885,0.3424404939015706,90.26666666666668,,
7,0.0140258660314275,0.4456141986846924,89.33333333333333,,
8,0.0107909106652471,0.5287121305465698,88.46666666666667,,
9,0.0079326891969779,0.5287431338628134,88.26666666666667,,
10,0.0077502455369788,0.5031307948430379,88.8,91.1,0.3213066654205322
