dataset,optimizer,batch_size,seed,base_lr,scaled_lr,final_loss,final_test_acc
MNIST,SGD,32,42,0.01,0.00125,0.1142855163691764,96.46
MNIST,SAM,32,42,0.01,0.00125,0.1182166305514079,96.57
MNIST,SGD,256,42,0.01,0.01,0.12231158292124057,96.26
MNIST,SAM,256,42,0.01,0.01,0.1172206135404901,96.63
MNIST,SGD,512,42,0.01,0.02,0.12429713218841913,96.47
MNIST,SAM,512,42,0.01,0.02,0.11572334992716897,96.51
MNIST,SGD,32,123,0.01,0.00125,0.11769058661931525,96.41
MNIST,SAM,32,123,0.01,0.00125,0.11824805823472545,96.62
MNIST,SGD,256,123,0.01,0.01,0.11528303668397298,96.53
MNIST,SAM,256,123,0.01,0.01,0.1157633484257341,96.49
MNIST,SGD,512,123,0.01,0.02,0.12204234660515245,96.51
MNIST,SAM,512,123,0.01,0.02,0.11767269382780453,96.46
MNIST,SGD,32,456,0.01,0.00125,0.11439429752289217,96.65
MNIST,SAM,32,456,0.01,0.00125,0.11864377067907673,96.57
MNIST,SGD,256,456,0.01,0.01,0.12290548738003908,96.45
MNIST,SAM,256,456,0.01,0.01,0.11364778865711384,96.41
MNIST,SGD,512,456,0.01,0.02,0.12472753325160944,96.45
MNIST,SAM,512,456,0.01,0.02,0.1199738362909488,96.38
MNIST,SGD,32,789,0.01,0.00125,0.11663661058936975,96.36
MNIST,SAM,32,789,0.01,0.00125,0.1182656024480062,96.62
MNIST,SGD,256,789,0.01,0.01,0.12066864254067859,96.5
MNIST,SAM,256,789,0.01,0.01,0.11525842845793019,96.46
MNIST,SGD,512,789,0.01,0.02,0.1255919650759337,96.16
MNIST,SAM,512,789,0.01,0.02,0.12074087686696143,96.46
MNIST,SGD,32,1011,0.01,0.00125,0.11236863126106543,96.52
MNIST,SAM,32,1011,0.01,0.00125,0.11922575801034939,96.57
MNIST,SGD,256,1011,0.01,0.01,0.1216604298607433,96.32
MNIST,SAM,256,1011,0.01,0.01,0.1141264946575131,96.8
MNIST,SGD,512,1011,0.01,0.02,0.12650576873489147,96.23
MNIST,SAM,512,1011,0.01,0.02,0.12044678972858303,96.41
MNIST,SGD,32,1213,0.01,0.00125,0.11454399201579799,96.62
MNIST,SAM,32,1213,0.01,0.00125,0.11866421804441166,96.65
MNIST,SGD,256,1213,0.01,0.01,0.12320776372018019,96.31
MNIST,SAM,256,1213,0.01,0.01,0.11900815802021614,96.55
MNIST,SGD,512,1213,0.01,0.02,0.1244481513100975,96.33
MNIST,SAM,512,1213,0.01,0.02,0.116553072589186,96.66
MNIST,SGD,32,1415,0.01,0.00125,0.11470275044510742,96.31
MNIST,SAM,32,1415,0.01,0.00125,0.11501208631712413,96.57
MNIST,SGD,256,1415,0.01,0.01,0.12107965297184849,96.47
MNIST,SAM,256,1415,0.01,0.01,0.11429391956724827,96.57
MNIST,SGD,512,1415,0.01,0.02,0.125005989001607,96.22
MNIST,SAM,512,1415,0.01,0.02,0.12013433986115006,96.38
MNIST,SGD,32,1617,0.01,0.00125,0.11528905010859425,96.53
MNIST,SAM,32,1617,0.01,0.00125,0.1199919430271974,96.55
MNIST,SGD,256,1617,0.01,0.01,0.12234497382813156,96.38
MNIST,SAM,256,1617,0.01,0.01,0.11687496240952569,96.45
MNIST,SGD,512,1617,0.01,0.02,0.12419478257872024,96.24
MNIST,SAM,512,1617,0.01,0.02,0.1233030322165984,96.3
MNIST,SGD,32,1819,0.01,0.00125,0.11743673384802028,96.37
MNIST,SAM,32,1819,0.01,0.00125,0.11972307505541795,96.62
MNIST,SGD,256,1819,0.01,0.01,0.1188169849144904,96.57
MNIST,SAM,256,1819,0.01,0.01,0.11588947928700402,96.52
MNIST,SGD,512,1819,0.01,0.02,0.12671386155317416,96.32
MNIST,SAM,512,1819,0.01,0.02,0.11823062212118562,96.52
MNIST,SGD,32,2021,0.01,0.00125,0.11760983755370664,96.49
MNIST,SAM,32,2021,0.01,0.00125,0.11967672580594894,96.42
MNIST,SGD,256,2021,0.01,0.01,0.12133386872391,96.3
MNIST,SAM,256,2021,0.01,0.01,0.11657550883307276,96.44
MNIST,SGD,512,2021,0.01,0.02,0.12366036276491184,96.33
MNIST,SAM,512,2021,0.01,0.02,0.1168501024960347,96.47
