epoch,optimizer,noise_rate,seed,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_val_epoch,test_acc,test_loss,peak_val_acc,peak_val_epoch,final_test_loss,final_test_acc
0,SGD,0.0,42,2.0045409508599175,24.18,1.7581668426513672,32.94,32.94,0,32.94,1.7581668426513672,,,,
1,SGD,0.0,42,1.6835589743296306,36.07111111111111,1.6110063133239747,39.68,39.68,1,39.68,1.6110063133239747,,,,
2,SGD,0.0,42,1.5339317501280043,42.15111111111111,1.4452810735702515,46.5,46.5,2,46.5,1.4452810735702515,,,,
3,SGD,0.0,42,1.4132188510047066,47.63333333333333,1.304559358024597,52.08,52.08,3,52.08,1.304559358024597,,,,
4,SGD,0.0,42,1.2983802473915949,52.53333333333333,1.236175044631958,55.56,55.56,4,55.56,1.236175044631958,,,,
5,SGD,0.0,42,1.2019304229312473,56.14666666666667,1.187747184753418,58.1,58.1,5,58.1,1.187747184753418,,,,
6,SGD,0.0,42,1.1234260395685831,59.07555555555555,1.1432685474395752,58.68,58.68,6,58.68,1.1432685474395752,,,,
7,SGD,0.0,42,1.0576463226742214,61.782222222222224,1.1021710329055787,61.0,61.0,7,61.0,1.1021710329055787,,,,
8,SGD,0.0,42,1.0079220690409343,63.61333333333334,1.0057064243316651,64.4,64.4,8,64.4,1.0057064243316651,,,,
9,SGD,0.0,42,0.9545934975094266,65.90222222222222,0.9681678924560547,65.92,65.92,9,65.92,0.9681678924560547,,,,
10,SGD,0.0,42,0.9109969975365533,67.39333333333333,0.9067003469467163,67.8,67.8,10,67.8,0.9067003469467163,,,,
11,SGD,0.0,42,0.8794862695270115,68.44888888888889,0.8870189476013184,68.92,68.92,11,68.92,0.8870189476013184,,,,
12,SGD,0.0,42,0.8495387749142117,69.71555555555555,0.8294013198852539,71.0,71.0,12,71.0,0.8294013198852539,,,,
13,SGD,0.0,42,0.8121302391158209,70.99555555555555,0.9003673351287842,68.94,71.0,12,68.94,0.9003673351287842,,,,
14,SGD,0.0,42,0.786964259507921,72.02888888888889,0.8361707382202148,70.94,71.0,12,70.94,0.8361707382202148,,,,
15,SGD,0.0,42,0.7544500005616082,73.3,0.775628334236145,72.6,72.6,15,72.6,0.775628334236145,,,,
16,SGD,0.0,42,0.7302857201576233,74.0,0.7496260234832763,74.42,74.42,16,74.42,0.7496260234832763,,,,
17,SGD,0.0,42,0.7054300609588623,74.82666666666667,0.6938364871978759,75.94,75.94,17,75.94,0.6938364871978759,,,,
18,SGD,0.0,42,0.6798302029079861,76.06222222222222,0.6906393167495728,76.52,76.52,18,76.52,0.6906393167495728,,,,
19,SGD,0.0,42,0.6582048316319784,76.53777777777778,0.6599803024291993,77.54,77.54,19,77.54,0.6599803024291993,,,,
20,SGD,0.0,42,0.6350063088946872,77.51333333333334,0.6549348609924316,78.14,78.14,20,78.14,0.6549348609924316,,,,
21,SGD,0.0,42,0.6225427588674757,77.94444444444444,0.650534488105774,77.76,78.14,20,77.76,0.650534488105774,,,,
22,SGD,0.0,42,0.599433308283488,78.86,0.7049415214538575,76.06,78.14,20,76.06,0.7049415214538575,,,,
23,SGD,0.0,42,0.5837841501977709,79.40666666666667,0.641425133228302,77.92,78.14,20,77.92,0.641425133228302,,,,
24,SGD,0.0,42,0.5681797133869595,79.96666666666667,0.6167967134475708,78.92,78.92,24,78.92,0.6167967134475708,,,,
25,SGD,0.0,42,0.5500899025917053,80.61333333333333,0.6134024885177612,78.58,78.92,24,78.58,0.6134024885177612,,,,
26,SGD,0.0,42,0.535079005267885,81.29777777777778,0.6125153732299805,79.02,79.02,26,79.02,0.6125153732299805,,,,
27,SGD,0.0,42,0.5135718247731527,81.83333333333333,0.6140831556320191,79.46,79.46,27,79.46,0.6140831556320191,,,,
28,SGD,0.0,42,0.5097173912260268,82.22,0.5822589328765869,80.08,80.08,28,80.08,0.5822589328765869,,,,
29,SGD,0.0,42,0.49127395046022204,82.74666666666667,0.5908352317810058,79.9,80.08,28,79.9,0.5908352317810058,,,,
30,SGD,0.0,42,0.483016031021542,83.13777777777777,0.6058402720451355,79.62,80.08,28,79.62,0.6058402720451355,,,,
31,SGD,0.0,42,0.47121022347874114,83.35333333333334,0.5874319469451904,80.94,80.94,31,80.94,0.5874319469451904,,,,
32,SGD,0.0,42,0.4551981265650855,83.94222222222223,0.5466075519561767,81.74,81.74,32,81.74,0.5466075519561767,,,,
33,SGD,0.0,42,0.4494227319187588,84.28444444444445,0.6371862560272217,79.84,81.74,32,79.84,0.6371862560272217,,,,
34,SGD,0.0,42,0.435006577958001,84.58666666666667,0.5703928106307984,81.44,81.74,32,81.44,0.5703928106307984,,,,
35,SGD,0.0,42,0.4232835981527964,85.14444444444445,0.5370826354980469,82.46,82.46,35,82.46,0.5370826354980469,,,,
36,SGD,0.0,42,0.41148728692796493,85.52666666666667,0.5798673368453979,81.62,82.46,35,81.62,0.5798673368453979,,,,
37,SGD,0.0,42,0.4021192888789707,85.98444444444445,0.5409269792556762,82.94,82.94,37,82.94,0.5409269792556762,,,,
38,SGD,0.0,42,0.3998075880156623,85.95555555555555,0.5754340814590454,80.9,82.94,37,80.9,0.5754340814590454,,,,
39,SGD,0.0,42,0.38376198534435696,86.50444444444445,0.5331057271957398,82.08,82.94,37,82.08,0.5331057271957398,,,,
40,SGD,0.0,42,0.37630248681704204,86.67333333333333,0.5297026443481445,82.72,82.94,37,82.72,0.5297026443481445,,,,
41,SGD,0.0,42,0.36674208567937217,87.20666666666666,0.5126752378463745,83.52,83.52,41,83.52,0.5126752378463745,,,,
42,SGD,0.0,42,0.36034630115826927,87.24,0.5462884456634521,82.86,83.52,41,82.86,0.5462884456634521,,,,
43,SGD,0.0,42,0.3481987152841356,87.76,0.5586458400726318,82.18,83.52,41,82.18,0.5586458400726318,,,,
44,SGD,0.0,42,0.3400021105819278,88.08444444444444,0.512517435836792,83.44,83.52,41,83.44,0.512517435836792,,,,
45,SGD,0.0,42,0.3349935584651099,88.27111111111111,0.5232634933471679,83.52,83.52,41,83.52,0.5232634933471679,,,,
46,SGD,0.0,42,0.3249729646947649,88.56,0.5147365804672241,83.58,83.58,46,83.58,0.5147365804672241,,,,
47,SGD,0.0,42,0.32288955855899387,88.81777777777778,0.5074305503845215,83.82,83.82,47,83.82,0.5074305503845215,,,,
48,SGD,0.0,42,0.3147383217652639,88.85111111111111,0.5166556205749512,83.5,83.82,47,83.5,0.5166556205749512,,,,
49,SGD,0.0,42,0.30761222370995417,89.05555555555556,0.5602153415679931,82.96,83.82,47,83.1,0.5260326651096344,83.82,47.0,0.5260326651096344,83.1
0,SGD_Momentum,0.0,42,1.7185256370544433,37.12,1.4198776405334472,48.06,48.06,0,48.06,1.4198776405334472,,,,
1,SGD_Momentum,0.0,42,1.206268688668145,56.31111111111111,1.037517381477356,63.12,63.12,1,63.12,1.037517381477356,,,,
2,SGD_Momentum,0.0,42,0.9034635904630025,68.04666666666667,0.811745729637146,72.08,72.08,2,72.08,0.811745729637146,,,,
3,SGD_Momentum,0.0,42,0.732376854748196,74.33777777777777,0.8398856927871704,71.94,72.08,2,71.94,0.8398856927871704,,,,
4,SGD_Momentum,0.0,42,0.6326974323855507,78.12444444444445,0.6678031997680665,77.5,77.5,4,77.5,0.6678031997680665,,,,
5,SGD_Momentum,0.0,42,0.5557409334076775,80.8,0.5933602524757385,80.18,80.18,5,80.18,0.5933602524757385,,,,
6,SGD_Momentum,0.0,42,0.49019107706811693,83.07333333333334,0.5040161899566651,82.72,82.72,6,82.72,0.5040161899566651,,,,
7,SGD_Momentum,0.0,42,0.4469148400704066,84.67111111111112,0.5837540796279908,80.44,82.72,6,80.44,0.5837540796279908,,,,
8,SGD_Momentum,0.0,42,0.41137065264383954,85.66666666666667,0.4433699941635132,83.9,83.9,8,83.9,0.4433699941635132,,,,
9,SGD_Momentum,0.0,42,0.3671108187198639,87.26444444444445,0.460651149559021,84.84,84.84,9,84.84,0.460651149559021,,,,
10,SGD_Momentum,0.0,42,0.34538776786857184,87.86666666666666,0.38996410007476806,86.76,86.76,10,86.76,0.38996410007476806,,,,
11,SGD_Momentum,0.0,42,0.31674376312891644,89.12222222222222,0.4361992317199707,85.92,86.76,10,85.92,0.4361992317199707,,,,
12,SGD_Momentum,0.0,42,0.29621246094968584,89.73555555555555,0.3957736198425293,86.74,86.76,10,86.74,0.3957736198425293,,,,
13,SGD_Momentum,0.0,42,0.27242584062152436,90.45777777777778,0.37205563564300537,88.34,88.34,13,88.34,0.37205563564300537,,,,
14,SGD_Momentum,0.0,42,0.2545592322137621,91.21111111111111,0.36916385078430175,88.08,88.34,13,88.08,0.36916385078430175,,,,
15,SGD_Momentum,0.0,42,0.2353428707069821,91.75777777777778,0.49406471824646,84.92,88.34,13,84.92,0.49406471824646,,,,
16,SGD_Momentum,0.0,42,0.22031026669078402,92.14888888888889,0.3351394766807556,89.1,89.1,16,89.1,0.3351394766807556,,,,
17,SGD_Momentum,0.0,42,0.21056465177271103,92.56666666666666,0.3433397937774658,89.02,89.1,16,89.02,0.3433397937774658,,,,
18,SGD_Momentum,0.0,42,0.19253355520036486,93.21333333333334,0.36159510860443117,88.84,89.1,16,88.84,0.36159510860443117,,,,
19,SGD_Momentum,0.0,42,0.18533802563879226,93.39555555555556,0.3250688187599182,89.74,89.74,19,89.74,0.3250688187599182,,,,
20,SGD_Momentum,0.0,42,0.16761842307249705,94.18888888888888,0.31868974838256836,90.0,90.0,20,90.0,0.31868974838256836,,,,
21,SGD_Momentum,0.0,42,0.15823515888849896,94.43777777777778,0.38244601588249205,89.06,90.0,20,89.06,0.38244601588249205,,,,
22,SGD_Momentum,0.0,42,0.1476353308889601,94.80444444444444,0.41429606189727786,88.6,90.0,20,88.6,0.41429606189727786,,,,
23,SGD_Momentum,0.0,42,0.1401059617996216,95.07333333333334,0.39279092116355896,89.46,90.0,20,89.46,0.39279092116355896,,,,
24,SGD_Momentum,0.0,42,0.13287672465907202,95.27777777777777,0.3519242563247681,89.9,90.0,20,89.9,0.3519242563247681,,,,
25,SGD_Momentum,0.0,42,0.123070592643155,95.67777777777778,0.3538934597492218,89.74,90.0,20,89.74,0.3538934597492218,,,,
26,SGD_Momentum,0.0,42,0.11742491792175505,95.85333333333334,0.41044349822998044,89.9,90.0,20,89.9,0.41044349822998044,,,,
27,SGD_Momentum,0.0,42,0.11148149349424574,96.06888888888889,0.32215936231613157,90.64,90.64,27,90.64,0.32215936231613157,,,,
