dataset,model,optimizer,seed,final_test_acc,final_loss,run_signature,completed
HighDim,Dim100,SGD,42,,9.765409458850627e-07,dc6338b45bd8379e13f0941ec8e6d41aa5079eeb78fee3471b3047c658fb03e9,True
HighDim,Dim100,SGD,123,,9.652254675529548e-07,23b497deb0de3e3a476065ce838a8f93d4941422558ac3eabb10e80ee97163f9,True
HighDim,Dim100,SGD,456,,9.762491117726313e-07,99d337dbc96c5931973c260e87f628693df011d7e171a6886c8416246f20d8ce,True
HighDim,Dim100,Adam,42,,9.143730039795628e-07,85f2ff84967e11896a93f7ecb72cda7a0f02c0003b203501d634e18a39845f40,True
HighDim,Dim100,Adam,123,,9.60604097599571e-07,a41faf3948f346665ff7c5a9d5ee7ebfc846a6ccb390cfa646cc79139291bf44,True
HighDim,Dim100,Adam,456,,8.915320677260752e-07,2f2e7e4334ef4910491df3e0afa59648b24d33cb98df8601bb5a0f93af74c8dc,True
HighDim,Dim100,SAM_SGD,42,,9.228403428096499e-07,665040056f1a5f4dc44a6d4c17694c79f13fa9954f5dac586f0cce938531f839,True
HighDim,Dim100,SAM_SGD,123,,9.01853880463932e-08,0e156af8f6ef6c3d88a8995eb42bb3d3f26db19c3476c6463ca300e95b4f6548,True
HighDim,Dim100,SAM_SGD,456,,5.527908228941669e-07,096fe7ba34d33d17058c8261461bac790ef47ae7d0bea0ff103087929a8ccd1a,True
HighDim,Dim200,SGD,42,,9.71525878412649e-07,c47460e6c45a71bdec24e61ed756083162be0e74ae0bc05c65f2b490b5776a8a,True
HighDim,Dim200,SGD,123,,9.733104207043652e-07,ad1540156f23b3071a7439272e252a6555147181b46c264f7e6feb0b18037b63,True
HighDim,Dim200,SGD,456,,9.880045581667218e-07,d715b58024cd5258ed3f1ffe245dec824e0537211e5186cdb71801b8f12926fc,True
HighDim,Dim200,Adam,42,,9.73867940956552e-07,8d5fc51ade68fca9563b8f76601112467c076bac70aac08ecbd2d98704111940,True
HighDim,Dim200,Adam,123,,9.951788797479821e-07,8337fb31ed45879e075934209bc65803129040dfddc28aa2767f68264d862691,True
HighDim,Dim200,Adam,456,,8.873333285919216e-07,ba88e7b9c49fc52cdf767d329119fccdcd5542355df552643ac4dbbc64fbf666,True
HighDim,Dim200,SAM_SGD,42,,9.21335811199242e-07,e93de83f5245f62f96432b5970e9ac5ae2612f259608c518f46d42cccab9ddf7,True
HighDim,Dim200,SAM_SGD,123,,4.3742466004914604e-07,410fd33dc2075b9b710e7ee3981cd63140b403a64764c7fcc7b12d63c6db83a6,True
HighDim,Dim200,SAM_SGD,456,,1.9770205028635246e-07,091c05a82233271c1e45da0566195fbd472296ae61464cc71f94bf673811a255,True
