iteration,loss,grad_norm,x,y
0,50.425735,66.27925109863281,-4.661519527435303,-1.826207160949707
1,45.73484,68.234130859375,-4.711252689361572,-1.8759770393371582
2,41.01142,65.50189208984375,-4.761115074157715,-1.924816370010376
3,36.7705,58.63170623779297,-4.811240196228027,-1.9711931943893433
4,33.443405,49.17027282714844,-4.8614501953125,-2.0124576091766357
5,31.270115,39.35141372680664,-4.911093235015869,-2.0453195571899414
6,30.224964,31.999595642089844,-4.958764553070068,-2.0674266815185547
7,30.081436,30.595367431640625,-5.002082347869873,-2.0785112380981445
8,30.534147,35.5964241027832,-5.03803014755249,-2.0799083709716797
9,31.226065,42.491973876953125,-5.064159870147705,-2.07353138923645
10,31.79529,47.364044189453125,-5.079672336578369,-2.061288833618164
11,32.01137,48.92852783203125,-5.085302829742432,-2.0449323654174805
12,31.840216,47.4550895690918,-5.08254337310791,-2.0260870456695557
13,31.386347,43.717220306396484,-5.073052883148193,-2.006315231323242
14,30.8041,38.537147521972656,-5.0584187507629395,-1.9871394634246826
15,30.235079,32.68374252319336,-5.040119171142578,-1.9699844121932983
16,29.776985,26.91834831237793,-5.019561290740967,-1.956050157546997
17,29.476427,22.125286102294922,-4.9981207847595215,-1.946173071861267
18,29.335976,19.316076278686523,-4.977147102355957,-1.940748929977417
19,29.326426,18.99773597717285,-4.957913398742676,-1.9397478103637695
20,29.399208,20.407880783081055,-4.941522598266602,-1.942792534828186
21,29.499603,22.1984920501709,-4.928803443908691,-1.9492533206939697
22,29.58072,23.443605422973633,-4.920245170593262,-1.9583278894424438
23,29.614212,23.7979736328125,-4.915992736816406,-1.969102382659912
24,29.593193,23.298429489135742,-4.915890693664551,-1.980602741241455
25,29.527168,22.156354904174805,-4.9195475578308105,-1.9918510913848877
26,29.433187,20.60110092163086,-4.926397323608398,-2.0019350051879883
27,29.328289,18.79441261291504,-4.935747146606445,-2.0100865364074707
28,29.22603,16.833269119262695,-4.946816444396973,-2.0157532691955566
29,29.136341,14.820667266845703,-4.95876932144165,-2.018644332885742
30,29.06654,12.949732780456543,-4.9707536697387695,-2.01874041557312
31,29.021309,11.522130012512207,-4.981949329376221,-2.016270399093628
32,29.001621,10.827347755432129,-4.99162483215332,-2.0116677284240723
33,29.00383,10.908722877502441,-4.999195575714111,-2.005516529083252
34,29.020187,11.489850997924805,-5.004271030426025,-1.9984933137893677
35,29.040752,12.17931842803955,-5.006677627563477,-1.9913060665130615
36,29.055836,12.660881042480469,-5.006458282470703,-1.9846315383911133
37,29.058205,12.734382629394531,-5.003851413726807,-1.9790542125701904
38,29.044586,12.29941463470459,-4.999255180358887,-1.9750144481658936
39,29.016317,11.343464851379395,-4.993185043334961,-1.9727731943130493
40,28.978867,9.940662384033203,-4.986227512359619,-1.972398281097412
41,28.940247,8.258573532104492,-4.978993892669678,-1.9737720489501953
42,28.90861,6.5804948806762695,-4.972073078155518,-1.9766165018081665
43,28.889812,5.344119548797607,-4.965986251831055,-1.9805312156677246
44,28.885748,5.025129318237305,-4.9611496925354,-1.9850389957427979
45,28.893991,5.605147361755371,-4.9578471183776855,-1.9896363019943237
46,28.908783,6.532555103302002,-4.956216335296631,-1.993844985961914
47,28.922993,7.3231120109558105,-4.956249237060547,-1.997259497642517
48,28.930393,7.713877201080322,-4.957804203033447,-1.9995862245559692
49,28.9276,7.588940143585205,-4.96062707901001,-2.0006680488586426
50,28.915022,6.931829452514648,-4.964378833770752,-2.000492811203003
51,28.896494,5.8083271980285645,-4.968667984008789,-1.9991843700408936
52,28.877684,4.364487171173096,-4.973084926605225,-1.9969801902770996
53,28.863956,2.871568441390991,-4.977237701416016,-1.994197130203247
54,28.858463,1.9700497388839722,-4.980783939361572,-1.9911918640136719
55,28.861164,2.4468841552734375,-4.983458995819092,-1.988318920135498
56,28.869156,3.505753517150879,-4.985095977783203,-1.9858909845352173
57,28.878025,4.393165111541748,-4.985633850097656,-1.9841465950012207
58,28.883663,4.873734474182129,-4.985116958618164,-1.9832277297973633
59,28.88375,4.880617141723633,-4.983682632446289,-1.9831702709197998
60,28.878426,4.428716659545898,-4.981542110443115,-1.9839075803756714
61,28.869896,3.5899455547332764,-4.97895622253418,-1.9852854013442993
62,28.861357,2.4805819988250732,-4.9762067794799805,-1.987086296081543
63,28.855583,1.2664209604263306,-4.973567962646484,-1.989059329032898
64,28.853943,0.554534375667572,-4.971282005310059,-1.9909523725509644
65,28.856041,1.3955706357955933,-4.969537734985352,-1.9925423860549927
66,28.860117,2.267240524291992,-4.968456745147705,-1.993660807609558
67,28.863934,2.851830244064331,-4.968086242675781,-1.9942102432250977
68,28.865742,3.090362310409546,-4.9684014320373535,-1.9941715002059937
69,28.86488,2.9800455570220947,-4.969311237335205,-1.9936004877090454
70,28.861906,2.559967517852783,-4.97067403793335,-1.9926154613494873
71,28.858156,1.9010530710220337,-4.972314834594727,-1.991377592086792
72,28.855083,1.0962568521499634,-4.974043369293213,-1.9900673627853394
73,28.853642,0.26114776730537415,-4.975676536560059,-1.98885977268219
74,28.853962,0.5680839419364929,-4.977054595947266,-1.9879024028778076
75,28.855448,1.2215739488601685,-4.978057861328125,-1.9872983694076538
76,28.857126,1.6779685020446777,-4.97861385345459,-1.9870959520339966
77,28.858139,1.9008352756500244,-4.97870397567749,-1.9872866868972778
78,28.858076,1.8869909048080444,-4.978359699249268,-1.987810492515564
79,28.857067,1.662825107574463,-4.977655410766602,-1.9885679483413696
80,28.855635,1.2789685726165771,-4.976698875427246,-1.989436149597168
81,28.85439,0.809587299823761,-4.975615501403809,-1.99028742313385
82,28.85375,0.3915501832962036,-4.974533557891846,-1.991006851196289
83,28.853796,0.437980979681015,-4.973571300506592,-1.9915071725845337
84,28.854305,0.7691141963005066,-4.972823143005371,-1.9917385578155518
85,28.854897,1.0286145210266113,-4.972352504730225,-1.9916926622390747
86,28.855251,1.1554893255233765,-4.97218656539917,-1.9914005994796753
87,28.855217,1.1437201499938965,-4.972316741943359,-1.9909254312515259
88,28.854858,1.0121124982833862,-4.9727020263671875,-1.9903510808944702
89,28.854366,0.7977299094200134,-4.973276138305664,-1.9897682666778564
90,28.853949,0.5569740533828735,-4.973957061767578,-1.9892613887786865
91,28.853745,0.38611236214637756,-4.9746575355529785,-1.9888968467712402
92,28.853756,0.4021955132484436,-4.975295543670654,-1.9887146949768066
93,28.853909,0.529918909072876,-4.975802898406982,-1.988725185394287
94,28.854073,0.6409149765968323,-4.976131916046143,-1.9889094829559326
95,28.854156,0.6904556155204773,-4.976260662078857,-1.9892246723175049
96,28.854128,0.6729258298873901,-4.976191997528076,-1.9896122217178345
97,28.854013,0.6002467274665833,-4.975951671600342,-1.990007758140564
98,28.853867,0.49561598896980286,-4.975584030151367,-1.9903513193130493
99,28.853746,0.39082181453704834,-4.975144386291504,-1.9905956983566284
100,28.853687,0.3237384557723999,-4.974691867828369,-1.9907128810882568
101,28.853678,0.3171344995498657,-4.974282741546631,-1.9906964302062988
102,28.853706,0.34938162565231323,-4.973962306976318,-1.9905610084533691
103,28.853743,0.3841375410556793,-4.973761558532715,-1.9903383255004883
104,28.853758,0.4013073444366455,-4.973694324493408,-1.9900708198547363
105,28.85375,0.3953835964202881,-4.973756313323975,-1.9898040294647217
106,28.853725,0.3686128556728363,-4.973928451538086,-1.989579677581787
107,28.853687,0.32645848393440247,-4.974179267883301,-1.9894291162490845
108,28.853651,0.27713543176651,-4.974470138549805,-1.9893693923950195
109,28.853622,0.23174770176410675,-4.974761486053467,-1.9894018173217773
110,28.853603,0.2039395421743393,-4.975015640258789,-1.9895126819610596
111,28.853605,0.20292608439922333,-4.9752044677734375,-1.98967707157135
112,28.853615,0.22160610556602478,-4.975309371948242,-1.989863634109497
113,28.853628,0.24302521347999573,-4.975325107574463,-1.9900401830673218
114,28.853634,0.2535751163959503,-4.975257396697998,-1.9901789426803589
115,28.85363,0.24577917158603668,-4.975122928619385,-1.9902608394622803
116,28.853613,0.21840618550777435,-4.974945068359375,-1.9902775287628174
117,28.853592,0.17556051909923553,-4.974750995635986,-1.9902323484420776
118,28.853573,0.12895596027374268,-4.974567890167236,-1.9901384115219116
119,28.853567,0.10181723535060883,-4.974418640136719,-1.9900157451629639
120,28.853569,0.11436813324689865,-4.974319934844971,-1.9898875951766968
121,28.853579,0.14572548866271973,-4.974279880523682,-1.9897758960723877
122,28.853586,0.16988177597522736,-4.974298477172852,-1.9896979331970215
123,28.85359,0.17567698657512665,-4.974368095397949,-1.9896637201309204
124,28.853586,0.1603599488735199,-4.9744744300842285,-1.9896750450134277
125,28.853577,0.12665829062461853,-4.974600315093994,-1.9897258281707764
126,28.853561,0.08193102478981018,-4.97472620010376,-1.989803671836853
127,28.853554,0.04507545381784439,-4.974835395812988,-1.9898927211761475
128,28.853556,0.057058289647102356,-4.974914073944092,-1.9899766445159912
129,28.853561,0.09099681675434113,-4.974954605102539,-1.9900412559509277
130,28.85357,0.11514018476009369,-4.974954605102539,-1.9900771379470825
131,28.853573,0.12210240960121155,-4.974918365478516,-1.9900805950164795
132,28.853569,0.11122389882802963,-4.974853992462158,-1.9900541305541992
133,28.853561,0.0850386768579483,-4.974772930145264,-1.9900051355361938
134,28.853554,0.04880208894610405,-4.9746880531311035,-1.989944338798523
135,28.853552,0.01278048474341631,-4.974611759185791,-1.9898837804794312
136,28.853554,0.03310083970427513,-4.974554061889648,-1.9898340702056885
137,28.853556,0.0619826503098011,-4.974521636962891,-1.9898031949996948
138,28.85356,0.07924208045005798,-4.97451639175415,-1.9897949695587158
139,28.853561,0.08272174000740051,-4.974536895751953,-1.9898086786270142
140,28.85356,0.07305838912725449,-4.9745774269104,-1.9898399114608765
141,28.853556,0.05297096446156502,-4.974630355834961,-1.9898812770843506
142,28.853554,0.026819556951522827,-4.974687099456787,-1.9899243116378784
143,28.853554,0.005053740460425615,-4.974739074707031,-1.9899609088897705
144,28.853554,0.026857199147343636,-4.97477912902832,-1.9899849891662598
145,28.853554,0.04488777369260788,-4.974802494049072,-1.9899933338165283
146,28.853558,0.054135363548994064,-4.974807262420654,-1.9899858236312866
147,28.853554,0.05403263121843338,-4.974794387817383,-1.9899653196334839
148,28.853556,0.045527249574661255,-4.974767208099365,-1.9899368286132812
149,28.853554,0.031332582235336304,-4.9747314453125,-1.9899064302444458
150,28.853554,0.01589556597173214,-4.974693298339844,-1.989880084991455
151,28.853556,0.01272902823984623,-4.974658489227295,-1.989862322807312
152,28.853552,0.023531539365649223,-4.9746317863464355,-1.9898557662963867
153,28.853554,0.03225139155983925,-4.974617004394531,-1.9898605346679688
154,28.853554,0.03557579591870308,-4.97461462020874,-1.9898747205734253
155,28.853554,0.03350534662604332,-4.974624156951904,-1.9898947477340698
156,28.853552,0.02713494747877121,-4.974643230438232,-1.9899160861968994
157,28.853552,0.01881881058216095,-4.974667549133301,-1.9899346828460693
158,28.85355,0.012851622886955738,-4.974693298339844,-1.9899470806121826
159,28.853556,0.013819007202982903,-4.9747161865234375,-1.989951491355896
160,28.853552,0.018367625772953033,-4.974732875823975,-1.98994779586792
161,28.853552,0.021574363112449646,-4.974741458892822,-1.9899375438690186
162,28.853554,0.022090677171945572,-4.974741458892822,-1.9899232387542725
163,28.853554,0.020139038562774658,-4.974733829498291,-1.989908218383789
164,28.853552,0.016761818900704384,-4.974720001220703,-1.9898954629898071
165,28.853554,0.013031838461756706,-4.974703311920166,-1.9898872375488281
166,28.853554,0.010932003147900105,-4.974686145782471,-1.9898847341537476
167,28.853552,0.011024615727365017,-4.974671363830566,-1.9898879528045654
168,28.853554,0.012364485301077366,-4.974661350250244,-1.9898957014083862
169,28.853552,0.013426209799945354,-4.97465705871582,-1.9899060726165771
