function,optimizer,seed,noise_std,noise_type,final_loss,final_x,final_y,iterations,converged
Rosenbrock_Easy,SGD,42,0.1,multiplicative,0.006426241016199853,0.9199407453677423,0.8459543376525706,5000,False
Rosenbrock_Easy,SGD,123,0.1,multiplicative,0.006476845194626394,0.9196250158687248,0.8453717095404043,5000,False
Rosenbrock_Easy,SGD,456,0.1,multiplicative,0.006434744647163598,0.9198888021494784,0.8458635561502621,5000,False
Rosenbrock_Easy,SGD,789,0.1,multiplicative,0.006589713025019639,0.918923613149288,0.8440991084608895,5000,False
Rosenbrock_Easy,SGD,1011,0.1,multiplicative,0.00635474410374993,0.9203825621238744,0.8467900821645633,5000,False
Rosenbrock_Easy,SGD,1213,0.1,multiplicative,0.006514316329197585,0.9194131882700972,0.8449443805771621,5000,False
Rosenbrock_Easy,SGD,1415,0.1,multiplicative,0.0063458722144503895,0.9204444011623995,0.8468789849995888,5000,False
Rosenbrock_Easy,SGD,1617,0.1,multiplicative,0.006700401209438034,0.918264775991517,0.8428451716822144,5000,False
Rosenbrock_Easy,SGD,1819,0.1,multiplicative,0.006312335591176869,0.9206596653154498,0.8472793684408997,5000,False
Rosenbrock_Easy,SGD,2021,0.1,multiplicative,0.006505635250080868,0.9194503688944666,0.8450643294080126,5000,False
Rosenbrock_Easy,SGD_Momentum,42,0.1,multiplicative,9.983722434605274e-09,0.9999005448788916,0.9998007949387976,2049,True
Rosenbrock_Easy,SGD_Momentum,123,0.1,multiplicative,9.98019467023733e-09,0.9999005391329537,0.9998008113085853,2046,True
Rosenbrock_Easy,SGD_Momentum,456,0.1,multiplicative,9.947495314638075e-09,0.9999007860657915,0.9998011229311718,2002,True
Rosenbrock_Easy,SGD_Momentum,789,0.1,multiplicative,9.991418916729851e-09,0.99990048450801,0.999800708534847,2057,True
Rosenbrock_Easy,SGD_Momentum,1011,0.1,multiplicative,9.976751608049055e-09,0.9999006243360894,0.9998008516637049,1985,True
Rosenbrock_Easy,SGD_Momentum,1213,0.1,multiplicative,9.977444767140207e-09,0.9999006300569291,0.9998008394441216,2042,True
Rosenbrock_Easy,SGD_Momentum,1415,0.1,multiplicative,9.942478142078487e-09,0.999900746282762,0.9998012127500091,2019,True
Rosenbrock_Easy,SGD_Momentum,1617,0.1,multiplicative,9.950854724419003e-09,0.9999007601052834,0.9998010712100475,2091,True
Rosenbrock_Easy,SGD_Momentum,1819,0.1,multiplicative,9.976924767919335e-09,0.9999006105220146,0.9998008724965836,1984,True
Rosenbrock_Easy,SGD_Momentum,2021,0.1,multiplicative,9.994723727907622e-09,0.9999004843999486,0.9998006415583844,2002,True
Rosenbrock_Easy,Adam,42,0.1,multiplicative,9.936569936135339e-09,0.9999013771171512,0.9998024660822578,1610,True
Rosenbrock_Easy,Adam,123,0.1,multiplicative,9.96002344212734e-09,0.9999012403552846,0.9998021817795841,1660,True
Rosenbrock_Easy,Adam,456,0.1,multiplicative,9.895153857489183e-09,0.9999015957912833,0.9998030144803924,1627,True
Rosenbrock_Easy,Adam,789,0.1,multiplicative,9.858558270849602e-09,0.9999017514070879,0.9998031227332382,1733,True
Rosenbrock_Easy,Adam,1011,0.1,multiplicative,9.936561047175319e-09,0.9999014788086912,0.9998026358556286,1568,True
Rosenbrock_Easy,Adam,1213,0.1,multiplicative,9.812047016269258e-09,0.9999019694603178,0.9998038215492315,1636,True
Rosenbrock_Easy,Adam,1415,0.1,multiplicative,9.984126284427274e-09,0.9999011518796477,0.9998020972780747,1567,True
Rosenbrock_Easy,Adam,1617,0.1,multiplicative,9.878735619537022e-09,0.9999016486034775,0.9998029819709779,1686,True
Rosenbrock_Easy,Adam,1819,0.1,multiplicative,9.83104542163465e-09,0.9999018739329509,0.9998034692214527,1707,True
Rosenbrock_Easy,Adam,2021,0.1,multiplicative,9.853595983048193e-09,0.9999019010031788,0.9998034026071471,1545,True
Rosenbrock_Easy,RMSProp,42,0.1,multiplicative,0.0274991494556747,0.9999245634473773,0.9828917161977082,5000,False
Rosenbrock_Easy,RMSProp,123,0.1,multiplicative,0.007017114414451981,1.0019595592637454,0.9947267664593807,5000,False
Rosenbrock_Easy,RMSProp,456,0.1,multiplicative,0.00797485411713823,0.9933888291168972,0.9999065007725197,5000,False
Rosenbrock_Easy,RMSProp,789,0.1,multiplicative,0.03337950558483875,0.9606070786216753,0.9402145419183174,5000,False
Rosenbrock_Easy,RMSProp,1011,0.1,multiplicative,0.004009891915853627,0.9810040781483532,0.9712023250847155,5000,False
Rosenbrock_Easy,RMSProp,1213,0.1,multiplicative,0.001039311902828508,0.9769561464873818,0.9505268968181533,5000,False
Rosenbrock_Easy,RMSProp,1415,0.1,multiplicative,0.026504078891565946,0.9716356835775269,0.9217056120962347,5000,False
Rosenbrock_Easy,RMSProp,1617,0.1,multiplicative,0.01159246887383791,1.000703233639119,0.9858511188750717,5000,False
Rosenbrock_Easy,RMSProp,1819,0.1,multiplicative,0.09301663894963326,1.0146584409437354,0.9994769386136972,5000,False
Rosenbrock_Easy,RMSProp,2021,0.1,multiplicative,0.002983724644393623,0.9883111139375201,0.9731364941434962,5000,False
Rosenbrock_Easy,SAM,42,0.1,multiplicative,0.31522156403519935,0.430865773720177,0.20846928191037395,5000,False
Rosenbrock_Easy,SAM,123,0.1,multiplicative,0.3452536716296019,0.45829776927498034,0.20129128622716513,5000,False
Rosenbrock_Easy,SAM,456,0.1,multiplicative,0.3253665403186348,0.4534789300185445,0.19470329797964206,5000,False
Rosenbrock_Easy,SAM,789,0.1,multiplicative,0.3296180276764793,0.4705293179621809,0.20341445578800674,5000,False
Rosenbrock_Easy,SAM,1011,0.1,multiplicative,0.3294499224477361,0.42198563605341,0.18972728984239573,5000,False
Rosenbrock_Easy,SAM,1213,0.1,multiplicative,0.3114862342441764,0.4469270109991126,0.20807043692165925,5000,False
Rosenbrock_Easy,SAM,1415,0.1,multiplicative,0.3623454874560446,0.42491243599548817,0.1686230436650467,5000,False
Rosenbrock_Easy,SAM,1617,0.1,multiplicative,0.3811381998002811,0.41860839190853893,0.169247183518345,5000,False
Rosenbrock_Easy,SAM,1819,0.1,multiplicative,0.3412382535137306,0.4163111124604414,0.19086804556887071,5000,False
Rosenbrock_Easy,SAM,2021,0.1,multiplicative,0.3594919954476012,0.4490202800821345,0.19388059972458982,5000,False
Rosenbrock_Hard,SGD,42,0.1,multiplicative,2.2606017973187484e+21,244147718006389.5,-12649471153745.291,5,False
Rosenbrock_Hard,SGD,123,0.1,multiplicative,5.17768249078153e+22,-2750609702496708.0,211631473498994.16,5,False
Rosenbrock_Hard,SGD,456,0.1,multiplicative,2.6946529444830085e+19,-8121807882348.206,265523475898.04617,5,False
Rosenbrock_Hard,SGD,789,0.1,multiplicative,1.0577783947746147e+25,-1.1964058540959894e+17,-1.3923595923454892e+16,5,False
Rosenbrock_Hard,SGD,1011,0.1,multiplicative,7.076594743673335e+26,-3.049877167919432e+18,1.828517516707998e+17,5,False
Rosenbrock_Hard,SGD,1213,0.1,multiplicative,1.8488754088504058e+41,-2.2530210354388586e+29,-1.0580746843216253e+28,6,False
Rosenbrock_Hard,SGD,1415,0.1,multiplicative,8.489566882726953e+37,-6.031354237775293e+26,-2.7069390043224083e+25,7,False
Rosenbrock_Hard,SGD,1617,0.1,multiplicative,2.3755684729525795e+34,1.2221841533438012e+24,7.024198732229798e+22,5,False
Rosenbrock_Hard,SGD,1819,0.1,multiplicative,7.718214985642972e+19,-18499026492195.535,-5332507093383.382,5,False
Rosenbrock_Hard,SGD,2021,0.1,multiplicative,1.5011123211249135e+26,9.543850131076274e+17,-4.072239991272849e+16,5,False
Rosenbrock_Hard,SGD_Momentum,42,0.1,multiplicative,3.5676745558606576e+46,-1.891176603094058e+33,3.532868739447128e+32,7,False
Rosenbrock_Hard,SGD_Momentum,123,0.1,multiplicative,1.5311132219969105e+31,-6.20272835560123e+21,4.772047288988626e+20,5,False
Rosenbrock_Hard,SGD_Momentum,456,0.1,multiplicative,2.0703283766817627e+28,-3.748048523795001e+19,1.2238306560508777e+18,5,False
Rosenbrock_Hard,SGD_Momentum,789,0.1,multiplicative,1.5690004275442574e+32,-2.859563592266049e+22,-3.327966556204372e+21,5,False
Rosenbrock_Hard,SGD_Momentum,1011,0.1,multiplicative,4.7977843264527156e+33,-4.0522353599344375e+23,2.4294475117388928e+22,5,False
Rosenbrock_Hard,SGD_Momentum,1213,0.1,multiplicative,1.0464970236797286e+46,6.451751646190405e+32,-3.882746957829565e+31,6,False
Rosenbrock_Hard,SGD_Momentum,1415,0.1,multiplicative,5.3396421148530056e+20,-82260055217884.97,-16877504095022.445,5,False
Rosenbrock_Hard,SGD_Momentum,1617,0.1,multiplicative,6.401919248936875e+29,4.571341076201862e+20,2.6272690163354866e+19,5,False
Rosenbrock_Hard,SGD_Momentum,1819,0.1,multiplicative,2.0725365489233697e+28,-3.880497737157207e+19,-1.1187032454575417e+19,5,False
Rosenbrock_Hard,SGD_Momentum,2021,0.1,multiplicative,1.2468241929596518e+46,-8.497181918662271e+32,7.032889691534701e+31,6,False
Rosenbrock_Hard,Adam,42,0.1,multiplicative,5.743764987576243e-05,0.9975137671419975,0.9954815960653041,5000,False
Rosenbrock_Hard,Adam,123,0.1,multiplicative,1.6207509291401053e-05,0.99670083455383,0.9935203739489262,5000,False
Rosenbrock_Hard,Adam,456,0.1,multiplicative,0.00752571401706115,0.9136706193986678,0.8344420770971822,5000,False
Rosenbrock_Hard,Adam,789,0.1,multiplicative,0.001715528266665044,0.958686065570335,0.9191597724379609,5000,False
Rosenbrock_Hard,Adam,1011,0.1,multiplicative,0.017120638853223156,0.8713001917156832,0.7457672406089506,5000,False
Rosenbrock_Hard,Adam,1213,0.1,multiplicative,0.0004326360972990112,1.0207180122025157,1.041873500898303,5000,False
Rosenbrock_Hard,Adam,1415,0.1,multiplicative,0.04294188141528942,0.9824079134186406,0.9705762287324186,5000,False
Rosenbrock_Hard,Adam,1617,0.1,multiplicative,0.0029488326278930546,0.9458977463342633,0.8945380089343946,5000,False
Rosenbrock_Hard,Adam,1819,0.1,multiplicative,0.15520635595293908,1.078049266207377,1.1705718485367758,5000,False
Rosenbrock_Hard,Adam,2021,0.1,multiplicative,0.003982439727924599,1.063023342160873,1.130042374255709,5000,False
Rosenbrock_Hard,RMSProp,42,0.1,multiplicative,0.30336846993619404,0.49560475834898743,0.25258192850228267,5000,False
Rosenbrock_Hard,RMSProp,123,0.1,multiplicative,0.27101447029850384,0.5129526149192859,0.2568176527570389,5000,False
Rosenbrock_Hard,RMSProp,456,0.1,multiplicative,0.4041120501519661,0.39824722918279654,0.16802258236096249,5000,False
Rosenbrock_Hard,RMSProp,789,0.1,multiplicative,0.3779330282105464,0.5151883746713716,0.27730087886209753,5000,False
Rosenbrock_Hard,RMSProp,1011,0.1,multiplicative,0.2774514671452384,0.48708449195832726,0.24319773904205264,5000,False
Rosenbrock_Hard,RMSProp,1213,0.1,multiplicative,0.19207808679906851,0.566341527785639,0.31770503402173644,5000,False
Rosenbrock_Hard,RMSProp,1415,0.1,multiplicative,0.31198271970520647,0.4854759973250753,0.24126085151252225,5000,False
Rosenbrock_Hard,RMSProp,1617,0.1,multiplicative,0.5966425981410706,0.3231834700821254,0.1143351396202838,5000,False
Rosenbrock_Hard,RMSProp,1819,0.1,multiplicative,0.2676723755734072,0.48728524446811067,0.23947808411771823,5000,False
Rosenbrock_Hard,RMSProp,2021,0.1,multiplicative,0.21886195079445875,0.5541785327982323,0.303844138573776,5000,False
Rosenbrock_Hard,SAM,42,0.1,multiplicative,8.88121867169613e+39,-1.870995275696447e+28,2.90631385346248e+27,5,False
Rosenbrock_Hard,SAM,123,0.1,multiplicative,2.3925352566993853e+18,1429159883383.9526,59534682106.99903,4,False
Rosenbrock_Hard,SAM,456,0.1,multiplicative,8.727439284307384e+42,-3.950021308101692e+30,-4.180860165013169e+29,5,False
Rosenbrock_Hard,SAM,789,0.1,multiplicative,4.4075626051175493e+43,-1.3709009627944367e+31,2.0807598169793808e+30,5,False
Rosenbrock_Hard,SAM,1011,0.1,multiplicative,2.085379817603362e+42,-1.1874474629943241e+30,-2.487339181172174e+29,5,False
Rosenbrock_Hard,SAM,1213,0.1,multiplicative,1.8207063279875425e+42,-1.2996203971799606e+30,1.0837117852941836e+29,5,False
Rosenbrock_Hard,SAM,1415,0.1,multiplicative,6.613095294811184e+38,-3.276305026360671e+27,-1.564984085877914e+26,5,False
Rosenbrock_Hard,SAM,1617,0.1,multiplicative,5.916432040535662e+44,-7.982043526954549e+31,8.411837759977845e+30,5,False
Rosenbrock_Hard,SAM,1819,0.1,multiplicative,5.266853318966471e+42,-2.4386663465691004e+30,8.39163286171425e+28,5,False
Rosenbrock_Hard,SAM,2021,0.1,multiplicative,1.3891077814166118e+46,-7.885333547764946e+32,-2.7643148381055805e+31,5,False
Ackley2D,SGD,42,0.1,multiplicative,6.559645375627877,-1.974451986484118,1.974451986484118,5000,False
Ackley2D,SGD,123,0.1,multiplicative,6.559645375627877,-1.974451986484118,1.974451986484118,5000,False
Ackley2D,SGD,456,0.1,multiplicative,6.559645375627877,-1.974451986484118,1.974451986484118,5000,False
Ackley2D,SGD,789,0.1,multiplicative,6.559645375627877,-1.9744519864841181,1.974451986484118,5000,False
Ackley2D,SGD,1011,0.1,multiplicative,6.559645375627877,-1.974451986484118,1.9744519864841181,5000,False
Ackley2D,SGD,1213,0.1,multiplicative,6.559645375627877,-1.9744519864841181,1.974451986484118,5000,False
Ackley2D,SGD,1415,0.1,multiplicative,6.559645375627877,-1.9744519864841181,1.974451986484118,5000,False
Ackley2D,SGD,1617,0.1,multiplicative,6.559645375627877,-1.974451986484118,1.9744519864841181,5000,False
Ackley2D,SGD,1819,0.1,multiplicative,6.559645375627877,-1.974451986484118,1.974451986484118,5000,False
Ackley2D,SGD,2021,0.1,multiplicative,6.559645375627877,-1.9744519864841181,1.974451986484118,5000,False
Ackley2D,SGD_Momentum,42,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,123,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,456,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,789,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,1011,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,1213,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,1415,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,1617,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,1819,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,SGD_Momentum,2021,0.1,multiplicative,6.559645375627877,-1.9744519864841168,1.9744519864841168,5000,False
Ackley2D,Adam,42,0.1,multiplicative,6.559645376230424,-1.9744493574331865,1.9744537726640814,5000,False
Ackley2D,Adam,123,0.1,multiplicative,6.5596453756278805,-1.9744519857142342,1.9744519857950216,5000,False
Ackley2D,Adam,456,0.1,multiplicative,6.559645375627877,-1.9744519864430543,1.974451986485923,5000,False
Ackley2D,Adam,789,0.1,multiplicative,6.559645382988553,-1.9744456671067259,1.974433223683317,5000,False
Ackley2D,Adam,1011,0.1,multiplicative,6.559645375627877,-1.97445198648409,1.974451986484132,5000,False
Ackley2D,Adam,1213,0.1,multiplicative,6.559671574501763,-1.968333332220997,1.9655562449578219,5000,False
Ackley2D,Adam,1415,0.1,multiplicative,6.559645375627877,-1.9744519862364682,1.9744519871832336,5000,False
Ackley2D,Adam,1617,0.1,multiplicative,6.559645375645982,-1.9744509208651029,1.9744516473190918,5000,False
Ackley2D,Adam,1819,0.1,multiplicative,6.559645375627877,-1.9744519864841137,1.9744519864841121,5000,False
Ackley2D,Adam,2021,0.1,multiplicative,6.5596453756278805,-1.9744519819858097,1.9744519981507445,5000,False
Ackley2D,RMSProp,42,0.1,multiplicative,6.5619131490714295,-1.9798837540755294,1.969520754184014,5000,False
Ackley2D,RMSProp,123,0.1,multiplicative,6.559726588165841,-1.9740163118402607,1.9749600317652591,5000,False
Ackley2D,RMSProp,456,0.1,multiplicative,6.560364629858256,-1.9799693574807038,1.971975829686613,5000,False
Ackley2D,RMSProp,789,0.1,multiplicative,6.560720783873958,-1.9807825631191953,1.9742262358796585,5000,False
Ackley2D,RMSProp,1011,0.1,multiplicative,6.560247624719327,-1.971945951024234,1.979521478471468,5000,False
Ackley2D,RMSProp,1213,0.1,multiplicative,6.560161570850781,-1.9756942872529963,1.9746550441991357,5000,False
Ackley2D,RMSProp,1415,0.1,multiplicative,6.560952048703257,-1.9697489517684583,1.9772840688564328,5000,False
Ackley2D,RMSProp,1617,0.1,multiplicative,6.561573078415158,-1.9672732865567621,1.978220044807629,5000,False
Ackley2D,RMSProp,1819,0.1,multiplicative,6.559976371626007,-1.977831034611367,1.9742809954734062,5000,False
Ackley2D,RMSProp,2021,0.1,multiplicative,6.56004436773231,-1.979203255105426,1.9736771104230562,5000,False
Ackley2D,SAM,42,0.1,multiplicative,6.559663797464911,-1.9762926942532333,1.9739215048167336,5000,False
Ackley2D,SAM,123,0.1,multiplicative,6.559647280293401,-1.9742034983717311,1.9720275236615412,5000,False
Ackley2D,SAM,456,0.1,multiplicative,6.559646867936934,-1.9753421899365398,1.9766416478229727,5000,False
Ackley2D,SAM,789,0.1,multiplicative,6.559726306134873,-1.973267895511223,1.9746964843135941,5000,False
Ackley2D,SAM,1011,0.1,multiplicative,6.559698416318934,-1.9752899579291527,1.9728734355267152,5000,False
Ackley2D,SAM,1213,0.1,multiplicative,6.559691182946413,-1.9749903270765208,1.9733953598053167,5000,False
Ackley2D,SAM,1415,0.1,multiplicative,6.559760253115417,-1.974989179347034,1.9740955902122517,5000,False
Ackley2D,SAM,1617,0.1,multiplicative,6.5596534476257204,-1.9725394084372696,1.974178901667594,5000,False
Ackley2D,SAM,1819,0.1,multiplicative,6.559656566008794,-1.9732807446000746,1.9760879552404669,5000,False
Ackley2D,SAM,2021,0.1,multiplicative,6.559671515793479,-1.9732693450356997,1.973502553822168,5000,False
SaddlePoint,SGD,42,0.1,multiplicative,0.0,0.4994648770054094,0.5005097767624954,1,True
SaddlePoint,SGD,123,0.1,multiplicative,0.0,0.49957676567614573,0.5004294770271536,1,True
SaddlePoint,SGD,456,0.1,multiplicative,0.0,0.4995472438193392,0.5005352287332803,1,True
SaddlePoint,SGD,789,0.1,multiplicative,0.0,0.49957835530870986,0.5005513160567433,1,True
SaddlePoint,SGD,1011,0.1,multiplicative,0.0,0.49958161491391795,0.5003887979544881,1,True
SaddlePoint,SGD,1213,0.1,multiplicative,0.0,0.4994638241567567,0.5005153909017583,1,True
SaddlePoint,SGD,1415,0.1,multiplicative,0.0,0.4995323318161386,0.500426529434443,1,True
SaddlePoint,SGD,1617,0.1,multiplicative,0.0,0.4993485966435511,0.5006042872995267,1,True
SaddlePoint,SGD,1819,0.1,multiplicative,0.0,0.49954167085925916,0.5005344060125693,1,True
SaddlePoint,SGD,2021,0.1,multiplicative,0.0,0.4993947394444322,0.5004521988128675,1,True
SaddlePoint,SGD_Momentum,42,0.1,multiplicative,0.0,0.4994648770054094,0.5005097767624954,1,True
SaddlePoint,SGD_Momentum,123,0.1,multiplicative,0.0,0.49957676567614573,0.5004294770271536,1,True
SaddlePoint,SGD_Momentum,456,0.1,multiplicative,0.0,0.4995472438193392,0.5005352287332803,1,True
