Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
SchedulerAblation_MNIST_AdamW_CosineAnnealingLR,0.018,0.0008,0.0,0.0,0.0
SchedulerAblation_MNIST_AdamW_StepLR,0.0451,0.0021,0.0,0.0,0.0
SchedulerAblation_MNIST_SGD_CosineAnnealingLR,0.2524,0.0043,0.0,0.0,0.0
SchedulerAblation_MNIST_SGD_StepLR,0.3068,0.0036,0.0,0.0,0.0
