Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
SimpleMLP_Augmentation_Standard,0.2517,0.0027,94.595,0.2434,0.0
SimpleMLP_LabelSmoothing_0.15,0.2902,0.0015,93.885,0.1484,0.0
SimpleMLP_LabelSmoothing_0.1,0.222,0.0011,93.88,0.172,0.0
SimpleMLP_LabelSmoothing_0.2,0.3605,0.0018,93.835,0.1517,0.0
SimpleMLP_LabelSmoothing_0.05,0.1535,0.0007,93.74,0.1729,0.0
SimpleMLP_Arch_Hidden_512,0.0761,0.0006,92.98,0.2027,0.0
SimpleMLP_Dropout_0.2,0.0831,0.0013,92.91,0.3129,0.0
SimpleMLP_Dropout_0.3,0.0845,0.0018,92.865,0.1898,0.0
SimpleMLP_Dropout_0.1,0.0834,0.0011,92.84,0.1319,0.0
SimpleMLP_Dropout_0.5,0.0903,0.002,92.755,0.2876,0.0
SimpleMLP_Dropout_0.0,0.0857,0.0012,92.7,0.1949,0.0
SimpleMLP_Arch_Hidden_256,0.0857,0.0012,92.7,0.1949,0.0
SimpleMLP_GradientClip_10.0,0.0857,0.0012,92.7,0.1949,0.0
SimpleMLP_GradientClip_5.0,0.0857,0.0012,92.7,0.1949,0.0
SimpleMLP_GradientClip_None,0.0857,0.0012,92.7,0.1949,0.0
SimpleMLP_Augmentation_None,0.0857,0.0012,92.7,0.1949,0.0
SimpleMLP_LabelSmoothing_0.0,0.0857,0.0012,92.7,0.1949,0.0
SimpleMLP_GradientClip_1.0,0.0858,0.0011,92.665,0.0594,0.0
SimpleMLP_Arch_Hidden_128,0.0953,0.0022,92.3,0.1897,0.0
SimpleMLP_Arch_Hidden_64,0.1084,0.0036,91.835,0.1305,0.0
SimpleMLP_GradientClip_0.5,0.1474,0.0029,91.315,0.1534,0.0
SimpleMLP_Arch_Hidden_32,0.1319,0.0056,91.06,0.5186,0.0
