epoch,train_loss,val_loss,val_acc,test_acc,test_loss
1,0.3481953809331445,0.26180366818110146,89.46666666666667,,
2,0.18374370604052262,0.27521895949045816,88.86666666666666,,
3,0.09704397894880351,0.2998074658711751,89.8,,
4,0.053099189903806236,0.410758553981781,88.66666666666667,,
5,0.04129103298309971,0.4087573906580607,88.8,,
6,0.025240139165893197,0.41492398246129353,89.46666666666667,,
7,0.011224714520003867,0.5120399931271871,88.73333333333333,,
8,0.01099927006349625,0.473651608467102,90.0,,
9,0.008587346047436929,0.4511798818906148,89.93333333333334,,
10,0.006979737062938512,0.5038784775733948,89.66666666666667,,
11,0.003480647034258308,0.5381263394355774,89.53333333333333,,
12,0.003617272081401418,0.5395207058588664,90.13333333333334,,
13,0.003929851162028225,0.5419398697217306,89.6,,
14,0.0026659380038926267,0.5625266817410787,89.8,,
15,0.0032164306871264297,0.5402590634028117,90.06666666666666,91.15,0.4920053338706493
