epoch,train_loss,val_loss,val_acc,test_acc,test_loss
1,0.6651114413037019,0.5762240955034892,82.13333333333334,,
2,0.45278684452000784,0.37600058563550315,86.0,,
3,0.325625048679464,0.3393020855585734,87.6,,
4,0.2800982861799352,0.3208180545171102,88.0,,
5,0.2489029247340034,0.31839758896827697,88.13333333333334,88.0,0.2895062346458435
