epoch,train_loss,val_loss,val_acc,test_acc,test_loss
1,0.5828619906902314,0.3384256931145986,85.53333333333333,,
2,0.31844101981555717,0.33976185297966005,86.66666666666667,,
3,0.27401017232502206,0.27279603679974873,89.06666666666666,,
4,0.21099120071355035,0.27580450479189556,89.06666666666666,,
5,0.18997492140180924,0.2896351487636566,88.93333333333334,,
6,0.15605539327158646,0.2923573135534922,89.06666666666666,,
7,0.10631186642190989,0.296223925669988,89.86666666666666,,
8,0.08296098251903758,0.42584827248255414,86.53333333333333,,
9,0.06988505989839049,0.38473407467206316,87.73333333333333,,
10,0.05216077866449076,0.3647141154607137,89.06666666666666,,
11,0.04167370407896883,0.4542173185348511,86.93333333333334,88.85,0.3032432680130005
