optimizer,seed,train_loss,train_acc,test_loss,test_acc,training_time,epochs_completed
SGD,42,,0.0,,0.0,1.6689300537109375e-06,2
SGD_Momentum,42,,0.0,,0.0,1.9073486328125e-06,16
Adam,42,,0.0,,0.0,9.5367431640625e-07,2
AdamW,42,,0.0,,0.0,7.152557373046875e-07,1
AMSGrad,42,,0.0,,0.0,1.430511474609375e-06,1
SAM_SGD,42,,0.0,,0.0,1.1920928955078125e-06,2
SAM_Adam,42,,0.0,,0.0,1.1920928955078125e-06,2
Lookahead_SGD,42,0.6911978600884298,84.59,0.49717942662537096,87.16,14.450713157653809,2
Lookahead_Adam,42,0.12310224800888918,96.315,0.10176341710612177,96.72,15.685569524765015,2
AdaBound,42,,0.0,,0.0,1.1920928955078125e-06,2
RAdam,42,,0.0,,0.0,9.5367431640625e-07,2
LAMB,42,,0.0,,0.0,1.430511474609375e-06,2
