optimizer,seed,train_loss,train_acc,test_loss,test_acc,training_time,epochs_completed
SGD,42,0.4239987379579402,88.41,0.3475676619447768,90.01,14.033596277236938,2
SGD_Momentum,42,0.09414838692113789,97.00166666666667,0.0794005934469169,97.28,14.371475458145142,2
Adam,42,0.09778564378047294,96.93,0.0861474147764966,97.18,14.570714712142944,2
AdamW,42,0.0985209511152145,96.85166666666667,0.08691894877119921,97.14,14.652438402175903,2
AMSGrad,42,0.09690565422081998,96.98666666666666,0.08478783942409791,97.26,14.723633766174316,2
SAM_SGD,42,0.41135139915861807,89.39,0.33594389371573924,90.41,14.915277481079102,2
SAM_Adam,42,0.09796044738021994,97.54666666666667,0.08056273957481608,97.31,15.293319940567017,2
Lookahead_SGD,42,0.6911978600884298,84.59,0.49717942662537096,87.16,14.50727105140686,2
Lookahead_Adam,42,0.12310224800888918,96.315,0.10176341710612177,96.72,14.756366968154907,2
AdaBound,42,0.31916036309082624,90.675,0.2834814459551126,91.66,15.156954288482666,2
RAdam,42,0.3599184133809433,94.60666666666667,0.4086960922460996,95.45,15.046439409255981,2
LAMB,42,0.4767091886829466,87.85166666666667,0.37229249607771636,89.78,14.771434307098389,2
