function,optimizer,weight_decay,seed,final_loss,final_x,final_y,iterations,converged
Rosenbrock,Adam_L2,0.0,42,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,123,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,456,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,789,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,1011,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,1213,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,1415,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,1617,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,1819,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,Adam_L2,0.0,2021,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,42,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,123,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,456,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,789,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,1011,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,1213,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,1415,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,1617,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
Rosenbrock,AdamW,0.0,1819,0.007710426114923741,0.9124412861587881,0.832289877890693,2000,False
