epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,22.002515077590942,,469.0,,,,,False,128.0,128.0,1.8384643026351928,0.6175
2,eval,,,,,,,44.80763101577759,,938.0,,,,,False,128.0,128.0,1.3957527563095091,0.7482
3,eval,,,,,,,65.79527974128723,,1407.0,,,,,False,128.0,128.0,1.049890646648407,0.8033
4,eval,,,,,,,87.60219883918762,,1876.0,,,,,False,128.0,128.0,0.8176972591400147,0.8353
5,eval,,,,,,,109.77453327178956,,2345.0,,,,,False,128.0,128.0,0.6715538400650024,0.8546
6,eval,,,,,,,131.9536895751953,,2814.0,,,,,False,128.0,128.0,0.5789739450454712,0.869
7,eval,,,,,,,155.7278289794922,,3283.0,,,,,False,128.0,128.0,0.5177746089458466,0.8773
8,eval,,,,,,,180.6182553768158,,3752.0,,,,,False,128.0,128.0,0.475100458908081,0.8826
9,eval,,,,,,,205.69517874717712,,4221.0,,,,,False,128.0,128.0,0.4438124247550964,0.8883
10,eval,,,,,,,231.32942461967468,,4690.0,,,,,False,128.0,128.0,0.4199800498008728,0.8908
