path,experiment,rows,status,nan_cells,inf_cells,max_abs_numeric,has_axis,has_loss_like
results_smoke_terminal_check\experiments\2d_optimization\2d_optimization_results.csv,2d_optimization,18,ok,0,0,791.162109375,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_Adam_seed123.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_Adam_seed42.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_Adam_seed456.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_SAM_SGD_seed123.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_SAM_SGD_seed42.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_SAM_SGD_seed456.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_SGD_seed123.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_SGD_seed42.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rastrigin_SGD_seed456.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_Adam_seed123.csv,2d_optimization,200,ok,0,0,1000.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_Adam_seed42.csv,2d_optimization,200,ok,0,0,1000.0000610351562,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_Adam_seed456.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_SAM_SGD_seed123.csv,2d_optimization,200,ok,0,0,608.767333984375,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_SAM_SGD_seed42.csv,2d_optimization,200,ok,0,0,294.3040466308594,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_SAM_SGD_seed456.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_SGD_seed123.csv,2d_optimization,200,ok,0,0,1000.0000610351562,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_SGD_seed42.csv,2d_optimization,200,ok,0,0,1000.0000610351562,True,True
results_smoke_terminal_check\experiments\2d_optimization\2d\2D_Rosenbrock_SGD_seed456.csv,2d_optimization,200,ok,0,0,199.0,True,True
results_smoke_terminal_check\nlp_resume_15\experiments\imdb\IMDB_Simple_BiLSTM_AdamW_seed42.csv,imdb,15,ok,0,0,100.0,True,True
results_smoke_terminal_check\nlp_resume_15\experiments\imdb\IMDB_Simple_BiLSTM_SGD_Momentum_seed42.csv,imdb,15,ok,0,0,100.0,True,True
results_smoke_terminal_check\nlp_resume_15\experiments\imdb\IMDB_Simple_SimpleLSTM_AdamW_seed42.csv,imdb,15,ok,0,0,100.0,True,True
results_smoke_terminal_check\nlp_resume_15\experiments\imdb\IMDB_Simple_SimpleLSTM_SGD_Momentum_seed42.csv,imdb,15,ok,0,0,100.0,True,True
