Seed,Beta,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,std_grad_norm,mean_update_mag,final_param_distance,mean_speed,std_speed,smoothness,oscillation_index,final_loss_std
42,0.0,momentum,90.85,86.65,0.329410636726814,0.43491299636662006,1.0934131978435686,0.32464363074019925,0.010934131978435685,2.6305994987487793,0.22329855,0.14220028,0.3875469,0.10153356782304841,0.02699534977702679
42,0.5,momentum,92.9,88.7,0.259289060966878,0.3707986418157816,1.0321476911536576,0.3095958473793397,0.010321476911536577,3.158534049987793,0.24826948,0.14199863,0.4542849,0.08695399825138263,0.019677694278616212
42,0.9,momentum,97.16,91.65,0.10986710872642602,0.25528026185929775,0.9035491077551884,0.31699160299001056,0.009035491077551885,5.413471698760986,0.5110338,0.14572805,0.8152585,0.05050252766948495,0.021729984872422836
42,0.99,momentum,99.18,92.9,0.0249676977024897,0.3845883747562766,1.0071909379650892,0.9678801045000625,0.010071909379650893,29.658458709716797,4.500738,2.8351297,1.0276778,0.07774252347692819,0.027512131549852506
