epoch,train_acc,test_acc,train_loss,test_loss
1,86.06,82.05,0.5099997894763947,0.6288682279586792
2,90.16,86.35,0.35189367804527283,0.4634369027614593
3,91.8,87.6,0.2916092707157135,0.40160517930984496
4,92.98,89.0,0.2581739786863327,0.3743759434223175
5,93.72,89.35,0.23018022046089173,0.3514289507865906
6,93.87,89.85,0.21481612179279327,0.33721279621124267
7,94.72,90.4,0.19197260072231292,0.31618190240859984
8,95.18,91.0,0.17422171399593353,0.3007701563835144
9,95.64,90.65,0.15868908486366273,0.29067534363269804
10,96.04,91.15,0.1486082167506218,0.2837910451889038
