epoch,optimizer,noise_rate,seed,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_val_epoch,test_acc,test_loss,peak_val_acc,peak_val_epoch,final_test_loss,final_test_acc
0,AdamW,0.0,42,1.413182323667738,47.70666666666666,1.186453129196167,58.22,58.22,0,58.22,1.186453129196167,,,,
1,AdamW,0.0,42,0.9632854120466444,65.68222222222222,0.9958513288497924,65.54,65.54,1,65.54,0.9958513288497924,,,,
2,AdamW,0.0,42,0.7640249684121874,73.16666666666667,0.7145519817352295,75.06,75.06,2,75.06,0.7145519817352295,,,,
3,AdamW,0.0,42,0.6458115254031287,77.5111111111111,0.7214952196121216,76.76,76.76,3,76.76,0.7214952196121216,,,,
4,AdamW,0.0,42,0.5674240139272478,80.49333333333334,0.5823850441932679,80.14,80.14,4,80.14,0.5823850441932679,,,,
5,AdamW,0.0,42,0.5047094798617893,82.83111111111111,0.5759575944900512,81.4,81.4,5,81.4,0.5759575944900512,,,,
6,AdamW,0.0,42,0.4473177148395114,84.4888888888889,0.5353268962860107,81.96,81.96,6,81.96,0.5353268962860107,,,,
7,AdamW,0.0,42,0.4105554467254215,85.78888888888889,0.5360822612762451,81.88,81.96,6,81.88,0.5360822612762451,,,,
8,AdamW,0.0,42,0.3781471279462178,87.02666666666667,0.5132001104354859,82.02,82.02,8,82.02,0.5132001104354859,,,,
9,AdamW,0.0,42,0.3463362287521362,88.02888888888889,0.4962809833526611,84.48,84.48,9,84.48,0.4962809833526611,,,,
10,AdamW,0.0,42,0.3223956948492262,88.81555555555556,0.4027089385032654,86.58,86.58,10,86.58,0.4027089385032654,,,,
11,AdamW,0.0,42,0.3003933835373984,89.54444444444445,0.3681321760177612,87.96,87.96,11,87.96,0.3681321760177612,,,,
12,AdamW,0.0,42,0.2733918181790246,90.38666666666668,0.4045781785964966,86.92,87.96,11,86.92,0.4045781785964966,,,,
13,AdamW,0.0,42,0.2545009630415175,91.17777777777778,0.3392367040634155,88.58,88.58,13,88.58,0.3392367040634155,,,,
14,AdamW,0.0,42,0.2391501928064558,91.67555555555556,0.3292606645584106,89.42,89.42,14,89.42,0.3292606645584106,,,,
15,AdamW,0.0,42,0.2253268779940075,92.28666666666666,0.4171863880157471,87.24,89.42,14,87.24,0.4171863880157471,,,,
