seed,condition,time_seconds,memory_mb,gpu_memory_mb,accuracy
42,baseline,341.7694511413574,-513.08984375,2.38134765625,98.03
42,with_tracking,334.81601548194885,37.3203125,2.38134765625,97.83
123,baseline,344.5142810344696,-195.546875,2.38134765625,97.43
123,with_tracking,358.8953187465668,-50.6328125,2.38134765625,97.94
456,baseline,280.4813275337219,3.36328125,2.38134765625,97.78
456,with_tracking,173.94337821006775,1.2109375,2.38134765625,97.96
789,baseline,172.03693747520447,-99.03125,2.38134765625,97.91
789,with_tracking,161.87011814117432,-316.76953125,2.38134765625,97.33
1011,baseline,170.16866970062256,2.765625,2.38134765625,98.07
1011,with_tracking,173.0984227657318,0.9765625,2.38134765625,98.11
1213,baseline,166.3459095954895,0.390625,2.38134765625,98.11
1213,with_tracking,168.89897298812866,0.1640625,2.38134765625,97.83
1415,baseline,165.55213809013367,-0.2421875,2.38134765625,97.84
1415,with_tracking,362.8371756076813,-662.19140625,2.38134765625,97.73
1617,baseline,330.64128160476685,-55.0703125,2.38134765625,97.96
1617,with_tracking,338.936580657959,-143.28515625,2.38134765625,97.7
1819,baseline,326.25543189048767,2.73828125,2.38134765625,97.81
1819,with_tracking,339.9465923309326,-248.953125,2.38134765625,97.99
2021,baseline,328.9835503101349,2.71484375,2.38134765625,97.9
2021,with_tracking,353.30540132522583,-240.62890625,2.38134765625,98.03
