iteration,loss,grad_norm,update_magnitude,param_distance,learning_rate,normalized_speed
0,2.2964673042297363,1.7400292206097017,0.0017400292206097017,0.0,0.001,0.0
1,1.9855828285217285,1.8286303111075957,0.0018286303111075958,0.0,0.001,0.0
2,1.8278248310089111,1.6976972697913395,0.0016976972697913396,0.0,0.001,0.0
3,1.7075319290161133,2.0941406328630365,0.0020941406328630367,0.0,0.001,0.0
4,1.4002318382263184,1.6560519167811536,0.0016560519167811536,0.0,0.001,0.0
5,1.3646446466445923,1.801062124599768,0.001801062124599768,0.0,0.001,0.0
6,1.1411586999893188,1.9691514430709829,0.001969151443070983,0.0,0.001,0.0
7,1.016865849494934,1.628616439869108,0.0016286164398691082,0.0,0.001,0.0
8,0.838191032409668,1.4528667285936907,0.0014528667285936907,0.0,0.001,0.0
9,0.7962185144424438,1.5927644196591213,0.0015927644196591212,0.0,0.001,0.0
10,0.7607001662254333,1.2587493269139958,0.0012587493269139959,0.0,0.001,0.0
11,0.7960214018821716,1.565213760755329,0.001565213760755329,0.0,0.001,0.0
12,0.7599086165428162,1.8342876709894498,0.0018342876709894497,0.0,0.001,0.0
13,0.6653379201889038,1.922362501188783,0.0019223625011887831,0.0,0.001,0.0
14,0.7146136164665222,2.0069520337185986,0.002006952033718599,0.0,0.001,0.0
15,0.5444413423538208,1.1568095980099276,0.0011568095980099276,0.0,0.001,0.0
16,0.493007630109787,1.1890633909418977,0.0011890633909418977,0.0,0.001,0.0
17,0.4865304231643677,1.4149009121610918,0.0014149009121610919,0.0,0.001,0.0
18,0.6227840185165405,1.68760231017392,0.00168760231017392,0.0,0.001,0.0
19,0.5901327133178711,1.7902756184875315,0.0017902756184875316,0.0,0.001,0.0
20,0.5465037226676941,1.3472691183780445,0.0013472691183780445,0.0,0.001,0.0
21,0.5345184803009033,1.3613145265860804,0.0013613145265860805,0.0,0.001,0.0
22,0.39132821559906006,1.399007595628016,0.001399007595628016,0.0,0.001,0.0
23,0.5078590512275696,1.780033467077672,0.0017800334670776722,0.0,0.001,0.0
24,0.46975177526474,1.7338806363992736,0.0017338806363992737,0.0,0.001,0.0
25,0.5188962817192078,1.0874926438837398,0.0010874926438837397,0.0,0.001,0.0
26,0.4022347331047058,1.9371031528316658,0.0019371031528316659,0.0,0.001,0.0
27,0.3769058883190155,1.183950943181299,0.001183950943181299,0.0,0.001,0.0
