beta1,beta2,final_loss,convergence_iters,smoothness,oscillation_index,mean_update_magnitude,final_grad_norm,converged,diverged,status
0.78,0.9428142857142857,0.00022414727863835236,1501,-0.1045557828304852,0.5610406937958639,0.0037809130694806386,0.5233303629220037,False,False,max_iters
0.78,0.9570857142857143,8.309258810563166e-06,1501,-0.052348796899907235,0.5363575717144763,0.0037115558577424487,0.3498730552152307,False,False,max_iters
0.78,0.9713571428571429,9.153512871167864e-06,1501,0.04654728425013391,0.48232154769846564,0.003603927874197408,0.19624087381567448,False,False,max_iters
0.78,0.9856285714285714,0.0003708013598275032,1501,0.35901541898575295,0.32221480987324885,0.0033056219684632145,0.9967500107500703,False,False,max_iters
0.78,0.9999,0.10512183160796505,1501,0.9986765801626957,0.00066711140760507,0.00239912486334677,0.4402668006455953,False,False,max_iters
0.85,0.9,4.435819541661704e-06,1501,-0.11084679373303305,0.5517011340893929,0.0035681537914583773,0.5628754494492267,False,False,max_iters
0.85,0.9142714285714286,7.400923571476935e-05,1501,-0.13623907781098685,0.5683789192795197,0.0035665900450786705,0.0111651653695359,False,False,max_iters
0.85,0.9285428571428571,0.00012963731368435016,1501,-0.14214147702963273,0.5730486991327551,0.0035516192424114206,0.20014983683264728,False,False,max_iters
0.85,0.9428142857142857,3.6862766829313407e-07,1501,-0.12532625899671282,0.5637091394262842,0.003529960228562051,0.33094566523985564,False,False,max_iters
0.85,0.9570857142857143,0.00039792934915934384,1501,-0.11222107527624288,0.5557038025350234,0.003501469545751263,0.8536890172007991,False,False,max_iters
0.85,0.9713571428571429,0.00023771706843308228,1501,0.07772488658334105,0.4609739826551034,0.003374180762663264,0.565730265951467,False,False,max_iters
0.85,0.9856285714285714,3.635484004266567e-05,1501,0.3651522937610743,0.3162108072048032,0.003173082683896735,0.22358605710540105,False,False,max_iters
0.85,0.9999,0.12480134907695535,1501,0.9984844727270087,0.0,0.0023843027670432974,0.4906261098589189,False,False,max_iters
0.9199999999999999,0.9,6.691486139028887e-05,1501,0.039668732678856546,0.4783188792528352,0.00328387866557233,0.04475354695266367,False,False,max_iters
0.9199999999999999,0.9142714285714286,7.244102235340893e-05,1501,-0.002506232399009905,0.4989993328885924,0.003277214072832609,0.11713772895460026,False,False,max_iters
0.9199999999999999,0.9285428571428571,6.604996738138807e-06,1501,-0.04948344693808154,0.5223482321547699,0.003270853163616576,0.18222316499156888,False,False,max_iters
0.9199999999999999,0.9428142857142857,1.9872697569606295e-05,1501,-0.06726707127546547,0.5303535690460307,0.003254764825602086,0.048880313942485355,False,False,max_iters
0.9199999999999999,0.9570857142857143,2.1533881125850328e-05,1501,-0.07078797659712918,0.5363575717144763,0.0032367357869764663,0.0051278379639073095,False,False,max_iters
0.9199999999999999,0.9713571428571429,4.266167543871297e-05,1501,-0.014842771192046756,0.5096731154102735,0.0032035444076760826,0.1603147249542651,False,False,max_iters
0.9199999999999999,0.9856285714285714,3.466567048906951e-05,1501,0.34868048610525365,0.3248832555036691,0.0030773661149591258,0.1903097919051262,False,False,max_iters
0.9199999999999999,0.9999,0.20110337870782188,1501,0.9982819661597809,0.0,0.0023188840046603075,0.6729965444675161,False,False,max_iters
0.99,0.9,3.671058896903544,1501,0.9952103224852266,0.0,0.0025260194654758454,23.05567089014481,False,False,max_iters
0.99,0.9142714285714286,3.774165396459196,1501,0.9955842339440442,0.0,0.0024497584109651207,32.330309980163285,False,False,max_iters
0.99,0.9285428571428571,2.5583427578702223,1501,0.9961782950066078,0.0,0.002466996240643209,19.274971404865752,False,False,max_iters
0.99,0.9428142857142857,0.6157667057334729,1501,0.9969217654550906,0.0,0.002886595915939708,11.399633493310587,False,False,max_iters
0.99,0.9570857142857143,0.2190975994049627,1501,0.9969209846844824,0.0,0.003007393612269308,7.638271382191755,False,False,max_iters
0.99,0.9713571428571429,0.014534612500689822,1501,0.9964555091076894,0.0,0.0031104950827718697,3.546562821488006,False,False,max_iters
0.99,0.9856285714285714,0.0001018691074606108,1501,0.9915301039105558,0.00066711140760507,0.003283828241620925,0.3330106484852422,False,False,max_iters
0.99,0.9999,1.563870860981485,1501,0.9984780580959017,0.0,0.0018438736311586622,2.4242151384519763,False,False,max_iters
