beta1,beta2,final_loss,convergence_iters,smoothness,oscillation_index,mean_update_magnitude,final_grad_norm,converged,diverged,status
0.5,0.9,0.0009259588979326601,1501,-0.29009174942036997,0.6557705136757839,0.005586747470769174,1.2817720908804213,False,False,max_iters
0.5,0.9142714285714286,5.570414548056567e-05,1501,-0.15162765163564496,0.5830553702468312,0.005112055070748878,0.09922684959948269,False,False,max_iters
0.5,0.9285428571428571,0.0001474037706704486,1501,-0.1383164299947559,0.5797198132088058,0.005029755457187789,0.09852778620739153,False,False,max_iters
0.5,0.9428142857142857,5.659847148398903e-05,1501,0.0020200697467686593,0.5096731154102735,0.004709091947183359,0.17489686223186618,False,False,max_iters
0.5,0.9570857142857143,4.527817364263437e-05,1501,0.05224130209443789,0.4829886591060707,0.004594981325106959,0.09247774561311801,False,False,max_iters
0.5,0.9713571428571429,4.923159031146178e-05,1501,0.4360535047014231,0.2755170113408939,0.004133927626603788,0.05854219988847282,False,False,max_iters
0.5,0.9856285714285714,0.0014711347116207894,1501,0.7580979498224383,0.11941294196130754,0.0036771794294136223,9.102728901431954,False,False,max_iters
0.5,0.9999,0.1015599614345978,1501,0.9995832318145558,0.0,0.002382488955157334,0.4324785967517988,False,False,max_iters
0.57,0.9,0.00021606832246823872,1501,-0.19236106476340975,0.6017344896597732,0.004919438962548754,0.7960261199416664,False,False,max_iters
0.57,0.9142714285714286,8.19370524305664e-05,1501,-0.2080839318982993,0.6104069379586391,0.004888171486981022,0.08070131512649127,False,False,max_iters
0.57,0.9285428571428571,0.00016513696107785028,1501,-0.15830636851563595,0.5917278185456971,0.004736560780795946,0.34905497023280657,False,False,max_iters
0.57,0.9428142857142857,0.002496095582708846,1501,-0.17503409795936886,0.5977318212141428,0.004749579191917711,1.473408458610491,False,False,max_iters
0.57,0.9570857142857143,5.788118480829565e-05,1501,0.0012338045819565283,0.505003335557038,0.004350420205431905,0.2989294047137506,False,False,max_iters
0.57,0.9713571428571429,1.4104135800450218e-05,1501,0.31367290962579353,0.33689126084056037,0.004008827433936754,0.06051679427029781,False,False,max_iters
0.57,0.9856285714285714,3.011990049427872e-05,1501,0.7038749709067195,0.14743162108072047,0.003565453490871667,0.006401312249547185,False,False,max_iters
0.57,0.9999,0.09963884747981687,1501,0.9993738899551393,0.0,0.0023883029698962242,0.4270139997230153,False,False,max_iters
0.64,0.9,0.004114766509982277,1501,-0.22030240400864115,0.6177451634422949,0.0046287523897965335,2.08618171233043,False,False,max_iters
0.64,0.9142714285714286,0.00015189605502340453,1501,-0.16529946749268132,0.5877251501000668,0.0045000977692570545,0.015387224931974511,False,False,max_iters
0.64,0.9285428571428571,0.002935956008153051,1501,-0.19148042993547978,0.6064042695130086,0.004512424851087892,3.9877619870496996,False,False,max_iters
0.64,0.9428142857142857,0.00128392085457481,1501,-0.16222189935708467,0.5937291527685123,0.004417143991758409,3.5402971181455367,False,False,max_iters
0.64,0.9570857142857143,2.2368595074752963e-06,1501,-0.05163519457648784,0.5396931287525016,0.00416897241410197,0.12812181898959735,False,False,max_iters
0.64,0.9713571428571429,0.004015915982612321,1501,0.1328689533940518,0.4469646430953969,0.003900053433843418,5.963542541008521,False,False,max_iters
0.64,0.9856285714285714,7.3669261540195185e-06,1501,0.6459006841936122,0.17211474316210806,0.003469957872390865,0.013183212043405244,False,False,max_iters
0.64,0.9999,0.09852970668985468,1501,0.9991955605280417,0.0,0.00239430629456103,0.4236564415289519,False,False,max_iters
0.71,0.9,0.002190216897194495,1501,-0.13795467127467512,0.5757171447631755,0.004186847628678617,2.0831666664443147,False,False,max_iters
0.71,0.9142714285714286,0.0014614196975965867,1501,-0.1392138732910075,0.5757171447631755,0.004163702180536933,0.38885376682031586,False,False,max_iters
0.71,0.9285428571428571,0.00013086634195709964,1501,-0.16320413804994535,0.590393595730487,0.004165188663529669,0.40494079197112476,False,False,max_iters
0.71,0.9428142857142857,0.000289104524444761,1501,-0.10699504110430226,0.5650433622414943,0.004058192816796546,2.1342586134394415,False,False,max_iters
0.71,0.9570857142857143,0.0006720930658990831,1501,-0.04744463564024628,0.5316877918612408,0.0039247907173863795,0.669811681189723,False,False,max_iters
0.71,0.9713571428571429,8.160009270182607e-06,1501,0.07635906609582425,0.4676450967311541,0.0037796015455701165,0.020466268954216927,False,False,max_iters
0.71,0.9856285714285714,1.09226356545043e-06,1501,0.5206187511386168,0.2334889926617745,0.00337320480542496,0.007536028287618683,False,False,max_iters
0.71,0.9999,0.09938332216013816,1501,0.9990008714009686,0.0,0.0023990791252014145,0.42550375915292815,False,False,max_iters
0.78,0.9,0.00015768472178144172,1501,-0.12096797450350068,0.5650433622414943,0.003884989553226985,0.10163986741614955,False,False,max_iters
0.78,0.9142714285714286,0.0020711912538471044,1501,-0.13397387437197483,0.571714476317545,0.0038751486518430025,1.851903194212819,False,False,max_iters
0.78,0.9285428571428571,0.00032026454218429443,1501,-0.11938045676850959,0.561707805203469,0.0038334098829933675,0.9184024967156401,False,False,max_iters
