Seed,Beta1,Beta2,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,std_grad_norm,mean_update_mag,final_param_distance,mean_speed,std_speed,smoothness,oscillation_index,final_loss_std
42,0.5,0.999,adam,98.18,92.7,0.07898714081048966,0.23291553652286529,0.8821153814857606,0.371092610549106,0.0004410576907428804,8.272300720214844,0.90917546,0.21927853,0.9803813252896294,0.042222651600587066,0.023608943843265617
42,0.9,0.999,adam,93.31,89.45,0.24816066675186157,0.35550156474113465,1.1141615201979773,0.35199968488072575,0.00011141615201979772,4.368678092956543,0.40178955,0.193849,0.5116051916128176,0.09782032027241601,0.024914330686353625
42,0.99,0.999,adam,82.23,77.35,0.8792473467826843,0.977444396495819,1.630138377569585,0.26474288019452463,1.6301383775695863e-05,1.7007050514221191,0.18140684,0.024475861,0.16794139530543822,0.07468979627439719,0.1468364842047084
123,0.5,0.999,adam,98.28,93.1,0.07217544739246369,0.22746879053115845,0.8591845379241805,0.35928080430677767,0.00042959226896209025,8.3550443649292,0.9107044,0.227529,0.9739504831255354,0.0449228470187885,0.022829941772356067
123,0.9,0.999,adam,93.52,90.1,0.2394474556684494,0.3426023421287537,1.0893567398004849,0.34821730554495917,0.00010893567398004845,4.399764537811279,0.4138429,0.21256307,0.5034263512335482,0.10351566607483606,0.025264133243049467
123,0.99,0.999,adam,82.31,77.65,0.9204203376770019,1.015613872051239,1.6203987900366652,0.24530631638552805,1.620398790036667e-05,1.676885962486267,0.1816687,0.019656915,0.1789708580788425,0.07467108176161133,0.15609058243499316
456,0.5,0.999,adam,98.12,92.45,0.07899321727752685,0.24247619700431824,0.879649503886451,0.36866897372320007,0.0004398247519432255,8.361917495727539,0.91193146,0.21376917,0.9600347603764355,0.041168843037971734,0.023692315872492528
456,0.9,0.999,adam,93.26,89.5,0.24886012244224548,0.35546403217315675,1.1045025313830554,0.34378305913242846,0.00011045025313830551,4.377828598022461,0.39893752,0.2019904,0.511725008825466,0.09769123265303759,0.023548536828091483
456,0.99,0.999,adam,83.64,79.35,0.8646100638389588,0.9496039161682129,1.6030024583785483,0.24700042004183123,1.6030024583785495e-05,1.7149230241775513,0.18369544,0.02306586,0.16942448513051828,0.07449899476857187,0.14970352933024503
789,0.5,0.999,adam,98.28,92.7,0.07469856655597687,0.23295762825012206,0.8497891052747842,0.3533731127608608,0.0004248945526373921,8.3524808883667,0.90568954,0.2107187,0.9620505907069086,0.0433490165465616,0.023531061142370878
789,0.9,0.999,adam,93.47,90.0,0.24272316117286682,0.35183123540878297,1.0862019772284794,0.33871498762361285,0.00010862019772284791,4.386969566345215,0.4048425,0.20881711,0.5083306886203656,0.10258123368894675,0.02438781253778076
789,0.99,0.999,adam,83.36,78.6,0.8938084525108337,0.986139042377472,1.6101864367518153,0.23556386915335092,1.6101864367518167e-05,1.7057346105575562,0.18555519,0.018566098,0.17922099196816677,0.07719306530369699,0.16139364231892753
1011,0.5,0.999,adam,98.32,92.85,0.07488616888523102,0.24002213644981385,0.8651754376412687,0.369447898372444,0.00043258771882063427,8.361611366271973,0.91088706,0.21949923,0.9570231049411608,0.04246823220283262,0.02408514775444167
1011,0.9,0.999,adam,93.38,89.7,0.24579325976371766,0.35332996463775634,1.0970039883120362,0.34813501781881573,0.0001097003988312036,4.381455421447754,0.40234745,0.20140335,0.49418199294121595,0.10007877418171171,0.024666375536117967
1011,0.99,0.999,adam,82.89,78.65,0.8833692039489746,0.9757504835128784,1.6300669667282002,0.25849178819221147,1.6300669667282015e-05,1.7098665237426758,0.18455571,0.022656761,0.17405862008644854,0.07548778988075218,0.15203188934957393
