epoch,train_acc,test_acc,train_loss,test_loss
1,86.58,82.8,0.5023203273296356,0.6286271257400513
2,90.47,86.45,0.3455439944267273,0.46381624436378477
3,92.04,88.1,0.28438347878456116,0.39993422222137454
4,93.16,89.0,0.2514143700003624,0.3727255258560181
5,93.87,89.65,0.22223957993984222,0.3464531478881836
6,94.15,90.05,0.20508354773521423,0.33013196778297427
7,94.97,90.95,0.1824833152651787,0.3093236289024353
8,95.44,91.2,0.16663519748449326,0.29490423679351807
9,95.82,91.35,0.15061661348342895,0.28388084053993223
10,96.26,91.5,0.14123830788135527,0.27636861979961397
