epoch,train_acc,test_acc,train_loss,test_loss
1,89.86,86.35,0.5442655610084534,0.6655316634178161
2,92.78,88.95,0.4549235062122345,0.571246808052063
3,94.29,90.2,0.4135513946056366,0.5293623170852662
4,95.29,91.75,0.37141448073387145,0.4854910798072815
5,95.9,92.05,0.34723434572219847,0.4640262567996979
6,96.38,92.3,0.32842682161331177,0.4431792387962341
7,97.07,92.95,0.31317383704185486,0.43133576154708864
8,97.58,93.45,0.30450527667999266,0.4195471341609955
9,97.83,93.85,0.29051998805999757,0.4135516526699066
10,98.05,94.0,0.28849503974914553,0.4078788275718689
