epoch,train_acc,test_acc,train_loss,test_loss
1,89.9,86.35,0.35038170909881594,0.46181879615783694
2,92.12,88.05,0.2846982398509979,0.4090444312095642
3,93.37,89.05,0.23119042925834657,0.36004368352890015
4,94.5,90.1,0.19891042804718018,0.3346495480537415
5,95.13,90.2,0.17407826569080354,0.3205147776603699
6,95.31,90.65,0.1610724479317665,0.3058301959037781
7,96.33,91.4,0.13531915417909623,0.28551692271232604
8,96.72,91.4,0.11834774463176727,0.26914478874206543
9,97.12,91.3,0.10949427747726441,0.27069091916084287
10,96.96,91.7,0.11146044190227986,0.27395039033889773
