epoch,train_acc,test_acc,train_loss,test_loss
1,90.07,86.25,0.5397759791374207,0.6636345424652099
2,92.82,88.9,0.4521681906223297,0.5705726070404052
3,94.25,90.15,0.4106799527168274,0.5300857644081116
4,95.3,91.6,0.37077182745933535,0.4907605385780334
5,95.82,92.05,0.34577652497291567,0.46947391486167905
6,96.48,92.05,0.3281629096984863,0.4500562114715576
7,97.04,93.1,0.3128012102842331,0.4361909041404724
8,97.46,93.3,0.30451306648254395,0.4245483591556549
9,97.8,93.8,0.28892294120788575,0.4158855662345886
10,97.99,93.85,0.2899418480157852,0.4130645716190338
