epoch,train_acc,test_acc,train_loss,test_loss
1,94.765,94.62,0.1857542351682981,0.18453542243242263
2,96.71333333333334,96.29,0.11686934419870376,0.12635996368378402
3,97.49166666666666,96.78,0.09052130223711331,0.10642901175096631
4,98.02833333333334,97.33,0.07245101771354676,0.0896537534788251
5,98.415,97.6,0.05744183804790179,0.07912693317942321
6,98.87833333333333,97.78,0.04585331635673841,0.07346700738370418
7,98.92666666666666,97.61,0.041247505523761115,0.07441774521172047
8,99.13666666666667,97.89,0.035042003595332306,0.06858709982391446
9,99.35333333333334,98.01,0.02812247762531042,0.06537264314591884
10,99.47666666666667,98.01,0.024706656746069592,0.06444496285617352
11,99.62666666666667,97.85,0.021094993858536085,0.06554330768287182
12,99.70666666666666,98.07,0.017981314343214035,0.06193603972094133
13,99.69666666666667,98.09,0.01776364670197169,0.06348666916359216
14,99.77666666666667,98.09,0.015038436483840147,0.06180868545686826
15,99.84833333333333,98.12,0.01289826012973984,0.06060440619622823
