epoch,train_acc,test_acc,train_loss,test_loss
1,90.2,86.15,0.3431275819301605,0.4523143353462219
2,91.86,88.4,0.28041167919635773,0.39764542555809024
3,93.74,89.65,0.2220928056716919,0.3416650342941284
4,94.8,90.15,0.1899344240605831,0.3174606981277466
5,95.56,90.4,0.16178375091552735,0.29566280007362367
6,96.0,90.75,0.14791336773633956,0.2822903127670288
7,96.75,91.6,0.1280784492611885,0.26600515842437744
8,97.26,91.9,0.10819905499219895,0.24935627555847167
9,97.41,91.7,0.09865745859146118,0.24935027587413788
10,97.68,91.95,0.09382141667306423,0.24515892803668976
