epoch,train_acc,test_acc,train_loss,test_loss
1,90.14,86.75,0.35458495790958405,0.4700742173194885
2,92.57,88.2,0.26735849480628965,0.3822210710048676
3,93.9,89.85,0.21465725088119506,0.32710483789443967
4,95.04,91.25,0.17936285958886147,0.29362375259399415
5,95.41,91.5,0.15676589456796647,0.27629650378227233
6,96.2,92.3,0.13545632997751236,0.25351230120658874
7,96.68,92.3,0.12450732593536377,0.24617541897296905
8,97.1,93.2,0.1066910501241684,0.23173849892616272
9,97.25,93.1,0.09890617570877075,0.22359902560710906
10,97.58,93.05,0.09151266271471978,0.21866546022891997
