epoch,train_acc,test_acc,train_loss,test_loss
1,90.36,86.7,0.3849950714111328,0.4959445948600769
2,92.74,88.65,0.3202538102149963,0.4336143088340759
3,94.1,90.4,0.27562169392108915,0.3901297445297241
4,95.38,91.7,0.23765162116289137,0.35437482833862305
5,96.0,92.15,0.21418075041770934,0.3355524363517761
6,96.66,91.9,0.19464765408039092,0.31531077551841735
7,97.36,92.85,0.18065495505332946,0.3024012122154236
8,97.69,93.55,0.1662608564376831,0.28655270075798034
9,97.95,93.25,0.15655941696166992,0.282091338634491
10,98.13,93.55,0.15427884608507156,0.27872782707214355
