epoch,train_acc,test_acc,train_loss,test_loss
1,92.71166666666667,92.93,0.2551660434325536,0.2483352291941643
2,95.09833333333333,94.93,0.17252172296444576,0.17390014536976814
3,96.36333333333333,95.93,0.1308222691933314,0.13601293655335903
4,97.22,96.75,0.10246393248637517,0.10905722420215606
5,97.64833333333333,97.03,0.08479350219964982,0.09363451913520694
6,98.15166666666667,97.46,0.06942987283269564,0.08465466517582536
7,98.33666666666667,97.5,0.061470371971527736,0.08246480256319046
8,98.6,97.77,0.05198946375946204,0.07457289447486401
9,98.83666666666667,97.65,0.044174447865287465,0.07059827294796706
10,99.03666666666666,97.92,0.03849655242760976,0.06693722747117281
11,99.17666666666666,97.81,0.033914533904194834,0.06877536685839296
12,99.29,98.05,0.030011190814773242,0.06484921817211434
13,99.29333333333334,97.92,0.028818302676081656,0.06597930562198162
14,99.46333333333334,97.93,0.02435610063324372,0.06314346792828292
15,99.55,98.02,0.021636378617088,0.06243659405633807
