epoch,train_acc,test_acc,train_loss,test_loss
1,86.54,83.1,0.5025232666254044,0.6264687108993531
2,90.39,86.25,0.34869751543998717,0.4672297854423523
3,91.74,87.45,0.28883203110694883,0.40409136724472045
4,93.08,88.9,0.2536201394200325,0.3752789857387543
5,93.86,89.45,0.22511107320785523,0.3511901886463165
6,94.16,89.8,0.20766042137145996,0.33408998370170595
7,94.85,90.75,0.18541700476408005,0.31425128650665285
8,95.33,90.7,0.16861065516471863,0.2998390896320343
9,95.67,90.75,0.1533843988895416,0.29010427081584933
10,96.06,91.0,0.14369175716638566,0.28279597556591035
