epoch,train_acc,test_acc,train_loss,test_loss
1,90.18,86.2,0.3339112936258316,0.4443482382297516
2,92.38,88.6,0.26779110069274903,0.38525107622146604
3,93.98,89.95,0.21049309804439545,0.3333966016769409
4,95.03,90.6,0.17849671164751052,0.3075873346328735
5,95.69,90.85,0.15005508899688721,0.2825123291015625
6,96.41,91.5,0.13268742396831512,0.2628377821445465
7,96.85,92.05,0.11874335267543792,0.25310098540782927
8,97.54,92.7,0.09864495455622672,0.23783690643310545
9,97.77,92.45,0.08740002541542054,0.2327611367702484
10,97.96,92.8,0.08408622318506241,0.23073293960094451
