epoch,train_acc,test_acc,train_loss,test_loss
1,90.25,86.5,0.3432794545769691,0.454754989862442
2,92.56,88.3,0.2664128793478012,0.38307388067245485
3,94.0,90.0,0.21033701529502868,0.32683496332168577
4,95.03,90.7,0.17668876367211342,0.3013844327926636
5,95.77,91.45,0.1502636342525482,0.2773461904525757
6,96.37,91.9,0.12945621911287308,0.25736315512657165
7,97.14,91.8,0.11513337241411209,0.2448542433977127
8,97.56,92.85,0.09856150977015496,0.2272289561033249
9,97.8,93.3,0.08792610573768615,0.22019521522521973
10,98.15,93.65,0.08152897039204836,0.21473087322711945
