epoch,train_acc,test_acc,train_loss,test_loss
1,86.54,82.1,0.5039479979991913,0.6253132591247559
2,90.39,86.5,0.3485581919193268,0.4607276167869568
3,91.84,88.35,0.28756080372333526,0.39654342412948607
4,93.0,89.15,0.2550457554101944,0.3700233864784241
5,93.86,89.25,0.22767914979457854,0.3474847037792206
6,94.05,90.15,0.21085330128669738,0.3328012318611145
7,94.89,90.65,0.18879369455575942,0.3112741327285767
8,95.11,91.05,0.1727958150744438,0.2986285691261292
9,95.57,91.2,0.15727821292877198,0.2883367874622345
10,95.99,91.5,0.14903808584213257,0.2821605713367462
