epoch,train_acc,test_acc,train_loss,test_loss
1,69.32,79.6,0.9886148423194885,0.7004586782455444
2,78.23,85.85,0.718860179901123,0.5223645348548889
3,83.66,88.7,0.5473371145248414,0.41531746435165406
4,87.85,91.65,0.43869974417686464,0.32933628630638123
5,89.69,92.45,0.3681237251281738,0.29152403688430784
6,89.88,92.3,0.34977906637191775,0.2822223731279373
7,91.59,94.1,0.2958640785813332,0.2328813089132309
8,91.9,93.4,0.289782105922699,0.2278869049549103
9,92.06,94.05,0.2692405705451965,0.21680014395713806
10,93.0,94.5,0.24973210043907165,0.20952160716056822
