epoch,train_acc,test_acc,train_loss,test_loss
1,90.35,86.55,0.3331642867445946,0.44891965436935427
2,92.51,88.75,0.2633105915546417,0.38474386239051817
3,94.08,89.85,0.20642231543064118,0.3292204315662384
4,95.26,91.05,0.17411755581498145,0.30369306707382204
5,95.92,91.15,0.14674775021076203,0.2782101593017578
6,96.35,91.3,0.13594814081192017,0.27011740612983703
7,97.28,92.2,0.11276125915646552,0.24985048699378967
8,97.69,92.3,0.09646032750606537,0.23723190236091612
9,98.0,92.3,0.08784326770305634,0.2340812476873398
10,98.14,92.85,0.08344444077908993,0.23269464206695556
