epoch,train_acc,test_acc,train_loss,test_loss
1,90.23,86.6,0.34563745602369306,0.460573356628418
2,91.99,87.6,0.28257285468578336,0.405172189950943
3,93.65,89.65,0.22179390349388123,0.3463815243244171
4,94.64,90.2,0.19459640081524848,0.3267929050922394
5,95.33,90.6,0.16665311715602873,0.30447756457328795
6,95.73,90.15,0.15140409995317458,0.2908472718000412
7,96.54,91.5,0.13356929077506066,0.2787278277873993
8,97.03,91.55,0.11499542384147644,0.26333701121807096
9,97.17,91.5,0.10682268233299255,0.26343091869354246
10,97.28,91.95,0.1041497336000204,0.2641907343864441
