epoch,train_acc,test_acc,train_loss,test_loss,optimizer
1,94.825,94.56,0.1858193483670552,0.1853184703946113,GradientClip_None
2,96.76833333333332,96.3,0.1158649889508883,0.1269901341795921,GradientClip_None
3,97.53833333333333,96.72,0.0888987133483092,0.1053170115157961,GradientClip_None
4,97.97333333333331,97.2,0.0728608240524927,0.0902814282789826,GradientClip_None
5,98.28166666666668,97.49,0.0592934164106845,0.0809911042954772,GradientClip_None
6,98.825,97.77,0.0466222375531991,0.074648705561459,GradientClip_None
7,98.93833333333332,97.74,0.0401751052786906,0.0731090995959937,GradientClip_None
8,99.1,97.83,0.0357377636142075,0.0704812137670815,GradientClip_None
9,99.33166666666666,98.09,0.0279831567972898,0.064704314723052,GradientClip_None
10,99.49833333333332,98.14,0.0244394757707913,0.0642119120413437,GradientClip_None
11,99.61833333333334,98.01,0.0212675680160522,0.0652198593293316,GradientClip_None
12,99.70666666666666,98.15,0.0184576767221093,0.0631566173930652,GradientClip_None
13,99.73,98.06,0.0174464768658081,0.062220173414424,GradientClip_None
14,99.79666666666668,98.13,0.0149023158701757,0.0607322553293313,GradientClip_None
15,99.84333333333332,98.23,0.0132379691046973,0.0607303012524731,GradientClip_None
