epoch,train_acc,test_acc,train_loss,test_loss
1,94.75833333333334,94.53,0.18559772702852884,0.18546015931367874
2,96.73,96.33,0.11693606171806653,0.12802154437452554
3,97.41666666666667,96.77,0.09038795326948165,0.10777396663799882
4,98.02,97.24,0.0719037916302681,0.0911132567062974
5,98.37,97.52,0.057493558915456135,0.07975669035520405
6,98.84,97.74,0.04562851969003678,0.07497753973901272
7,98.94833333333334,97.65,0.04007465460101763,0.07244147323071956
8,99.16166666666666,97.8,0.034303582536180814,0.06959122624080628
9,99.34666666666666,98.01,0.02728757894386848,0.06496875401996076
10,99.49166666666666,97.95,0.024166796697179478,0.06494100390421227
11,99.58166666666666,97.95,0.02067569951315721,0.06545111286146567
12,99.71,97.97,0.017876144675413767,0.0628584959612228
13,99.725,97.95,0.016545347405721743,0.0627796257214155
14,99.79166666666667,98.03,0.014778735506534576,0.06214195151354652
15,99.83333333333333,98.01,0.01271158317575852,0.06166260901982896
